GENE_NAME	REFSEQ_ID	PROXIMAL_STITCHED_PEAKS
Ccdc130	NM_026350	chr8:84297369-84307728
Ccdc141	NM_001025576	chr2:77012149-77019512
Ccdc160	NM_001034059	chrX:52747014-52759697
Ccdc30	NM_029286	chr4:119403504-119412204
Ccl25	NR_033527	chr8:4342084-4366546
Ccnc	NM_001122982	chr4:21722986-21723381
Ccr7	NM_007719	chr11:99117965-99123095
Cct4	NM_009837	chr11:22936408-22949339
Cdc25b	NM_001111075	chr2:131232488-131244109
Cdh13	NM_019707	chr8:118796517-118802498
Cdk17	NM_146239	chr10:93176392-93184719
Cdk6	NM_009873	chr5:3386802-3395379
Cdo1	NM_033037	chr18:46713567-46713888
Cenpq	NM_031863	chr17:40893224-40904439
Cggbp1	NM_178647	chr16:64885207-64886002
Chchd3	NM_025336	chr6:32787418-32797731
Chd2	NM_001081345	chr7:73535034-73539408
Chd7	NM_001277149	chr4:8687996-8688619
Chd9	NM_177224	chr8:90851601-90857272
Chrnd	NM_021600	chr1:87224855-87230941
Chrng	NM_009604	chr1:87224855-87230941
Cldn20	NM_001101560	chr17:3505641-3516670
Clec11a	NM_009131	chr7:44276518-44287926
Clpx	NM_011802	chr9:65339242-65347485
Clybl	NM_029556	chr14:122255499-122268071,chr14:122330145-122342505
Cnot1	NM_178078	chr8:95830217-95833760
Cnot10	NM_153585	chr9:114640240-114640697
Cnr1	NM_007726	chr4:33904050-33909133
Cobl	NM_172496	chr11:12467263-12470024
Col13a1	NM_007731	chr10:61999808-62012716
Col14a1	NM_181277	chr15:55266627-55268428
Commd1	NM_144514	chr11:22936408-22949339
Cops3	NM_011991	chr11:59814350-59821932
Cort	NM_007745	chr4:149157495-149161173
Cox7a2l	NM_009187	chr17:83467020-83477610
Cpox	NM_007757	chr16:58629967-58636260
Cryba1	NM_009965	chr11:77673484-77680482
Csnk2a2	NM_009974	chr8:95528356-95532449
Csrnp3	NM_153409	chr2:65841544-65849060
Cstf2t	NM_031249	chr19:31100777-31120236
Ctbs	NM_028836	chr3:146469268-146473096
Ctnna2	NM_001109764	chr6:76974343-76984617
Ctnna3	NM_177612	chr10:64736596-64744655
Ctnnbl1	NM_025680	chr2:157840722-157849013
Cuedc1	NM_001172099	chr11:88193190-88202480
Cxcl14	NM_019568	chr13:56252126-56258374
D10Wsu102e	NM_026579	chr10:83344244-83346362
D1Pas1	NM_033077	chr1:186922832-186929569
D7Ertd715e	NR_015456	chr7:60006239-60008207
D8Ertd738e	NM_001007571	chr8:84297369-84307728
Dact1	NM_001190466	chr12:71293767-71297501
Dars	NM_177445	chr1:128392394-128400757
Dcaf4	NM_030246	chr12:83556078-83570290
Dcbld1	NM_025705	chr10:52273881-52296269
Dclk2	NM_001195498	chr3:86832778-86853289
Dclre1b	NM_133865	chr3:103840160-103850871
Dcxr	NM_026428	chr11:120777113-120780307
Ddx43	NM_001191044	chr9:78359638-78369028
Ddx47	NM_026360	chr6:135038714-135042323
Ddx58	NM_172689	chr4:40233108-40238749
Dennd2c	NM_177857	chr3:103103946-103108206
Dennd5b	NM_177192	chr6:149129271-149131409,chr6:148992289-148992716
Derl3	NM_024440	chr10:75851125-75852088
Dgcr8	NM_033324	chr16:18316450-18321802
Dgkh	NM_001081336	chr14:78770440-78776915,chr14:78721989-78734079
Dhrs7	NM_025522	chr12:72649906-72651639
Diras2	NM_001024474	chr13:52556271-52562744
Dlc1	NM_001194940	chr8:36579605-36581586
Dlgap3	NM_198618	chr4:127224396-127227696
Dll1	NM_007865	chr17:15378823-15382522
Dlx5	NM_010056	chr6:6851387-6860098
Dlx6	NM_010057	chr6:6851387-6860098
Dlx6as1	NR_015388	chr6:6851387-6860098
Dlx6as2	NR_002839	chr6:6851387-6860098
Dock1	NM_001033420	chr7:134761815-134771646
Dock5	NM_177780	chr14:67936480-67941891,chr14:67887991-67894301
Dok5	NM_001163686	chr2:170772157-170775916
Dppa3	NM_139218	chr6:122624477-122626516
Dppa5a	NM_025274	chr9:78359638-78369028
Dtnb	NM_001162465	chr12:3728748-3739153
Dus1l	NM_026824	chr11:120777113-120780307
Dusp14	NM_019819	chr11:84081639-84089210
Dvl3	NM_007889	chr16:20473857-20480452
Dync1li1	NM_146229	chr9:114640240-114640697
Dynll2	NM_001168472	chr11:88025383-88028027
E030025P04Rik	NR_037978	chr11:109100826-109110087
E2f2	NM_177733	chr4:136146779-136147155
E330017A01Rik	NM_175011	chr16:58629967-58636260
Ebf1	NM_007897	chr11:44761455-44767592
Ebp	NM_007898	chrX:8207221-8220025
Edar	NM_010100	chr10:58594539-58601532
Eea1	NM_001001932	chr10:95883552-95891795
Eef1a2	NM_007906	chr2:181127789-181128224
Eef1d	NM_029663	chr15:75877775-75889848
Efhd1	NM_028889	chr1:87224855-87230941
Ehf	NM_007914	chr2:103348105-103361044
Ei24	NM_001199494	chr9:36794534-36803259
Eif2b5	NM_172265	chr16:20473857-20480452
Eif4e2	NM_001039170	chr1:87224855-87230941
Eif4ebp1	NM_007918	chr8:27236294-27240724
Eif4ebp2	NM_010124	chr10:61415909-61416998
Elavl1	NM_010485	chr8:4342084-4366546
Elmo1	NM_080288	chr13:20097252-20109430,chr13:20174530-20184057
Eml4	NM_199466	chr17:83467020-83477610
Enah	NM_001083121	chr1:182018291-182030501
Enc1	NM_007930	chr13:97282744-97292762
Enox1	NM_001253759	chr14:77239805-77251190
Enpp3	NM_134005	chr10:24826179-24834951
Ensa	NM_001026212	chr3:95663519-95664134
Epb4.1	NM_183428	chr4:132011645-132018909
Epb4.1l4a	NM_013512	chr18:34017684-34032594
Epb4.9	NM_013514	chr14:70623101-70635109
Epha10	NM_001256432	chr4:124825058-124833160
Ephb1	NM_173447	chr9:102205532-102211789
Ephb3	NM_010143	chr16:21159205-21163928
Esf1	NM_001081090	chr2:140185776-140189909
Etl4	NM_029895	chr2:20653092-20655699,chr2:20549081-20549417
Etv4	NM_008815	chr11:101785814-101787861
Evx2	NM_007967	chr2:74672494-74679193
Ezr	NM_009510	chr17:6759924-6763881
F13b	NM_031164	chr1:139494578-139500298
Fabp2	NM_007980	chr3:122936684-122938756
Fam120b	NR_033586	chr17:15378823-15382522
Fam133b	NM_001042501	chr5:3577075-3578932
Fam13b	NM_146084	chr18:34551721-34555554
Fam160b2	NM_194345	chr14:70623101-70635109
Fam189a2	NM_001114174	chr19:24064563-24073455
Fam212a	NM_026597	chr9:107958676-107961853
Fam25c	NM_183278	chr14:34316250-34323799
Fam35a	NM_029389	chr14:34316250-34323799
Fam60a	NM_019643	chr6:148992289-148992716
Fasn	NM_007988	chr11:120777113-120780307
Fat1	NM_001081286	chr8:44962621-44979663
Fbxl5	NM_001159963	chr5:43802778-43814805
Fbxo22	NM_028049	chr9:55216133-55225562
Fbxw15	NM_199036	chr9:109546746-109549989
Fbxw4	NM_013907	chr19:45649854-45650036
Fert2	NM_008000	chr17:64060559-64066806
Fez1	NM_183171	chr9:36794534-36803259
Fgd6	NM_053072	chr10:94093539-94097393
Fgf1	NM_010197	chr18:38960908-38973114
Fgf17	NM_008004	chr14:70623101-70635109
Fgf3	NM_008007	chr7:144822039-144828442
Fgf4	NM_010202	chr7:144822039-144828442
Fkbp15	NM_001045528	chr4:62306440-62314972
Flcn	NM_001271357	chr11:59814350-59821932
Fnbp4	NM_018828	chr2:90708501-90708895
Fnta	NM_008033	chr8:26060498-26063998
Foxa2	NM_010446	chr2:148029196-148041049
Foxd3	NM_010425	chr4:99636122-99642453
Ftsj1	NM_133991	chrX:8207221-8220025
Fut9	NM_010243	chr4:25796110-25799136
Gbx2	NM_010262	chr1:89922744-89934998
Gdf3	NM_008108	chr6:122624477-122626516
Ggct	NM_026637	chr6:54953357-54965258
Gja1	NM_010288	chr10:56374210-56376331
Gjc1	NM_008122	chr11:102820525-102826748
Glis3	NM_175459	chr19:28560701-28566929
Glt1d1	NM_177005	chr5:127660423-127670391
Glud1	NM_008133	chr14:34316250-34323799
Glyatl3	NM_001145060	chr17:40893224-40904439
Glyctk	NM_174846	chr9:106167745-106172217
Gm10510	NR_033511	chr17:15378823-15382522
Gm10664	NR_040692	chr8:65062215-65064532
Gm13939	NR_033473	chr2:109936403-109943672
Gm15471	NR_040412	chr3:103840160-103850871
Gm16062	NR_045686	chr11:59814350-59821932
Gm16938	NR_045972	chr7:98186733-98189968
Gm20098	NR_045095	chr17:51836988-51839819
Gm20187	NR_045052	chr12:27065008-27083540
Gm2848	NR_046069	chr13:52556271-52562744
Gm3219	NR_027380	chr14:34316250-34323799
Gm4872	NR_073371	chr6:53201294-53208789
Gm5086	NR_046157	chr13:97552189-97555653
Gm5095	NR_033454	chr18:47492954-47496329
Gm514	NM_001111145	chr9:65339242-65347485
Gm5441	NR_044987	chr12:117235203-117240719
Gm5607	NR_027975	chr8:12431644-12434066
Gm5820	NM_001033789	chr18:38960908-38973114
Gm6525	NR_036654	chr3:84181769-84206855
Gm6792	NM_001177416	chr7:6258201-6259271
Gm813	NM_001033404	chr16:58629967-58636260
Gm8298	NM_001243003	chr3:59877671-59880373
Gm8709	NR_033633	chr10:26637542-26638516
Gng5	NM_010318	chr3:146469268-146473096
Gnpda1	NM_011937	chr18:38384197-38391265
Golga4	NM_018748	chr9:118537524-118538352
Golph3	NM_025673	chr15:12274180-12275390
Got1l1	NM_029674	chr8:27236294-27240724
Gpatch1	NM_026181	chr7:35322850-35335478
Gpc4	NM_008150	chrX:52163787-52167781
Gpr116	NM_001081178	chr17:43354694-43364246
Gprc5a	NM_181444	chr6:135038714-135042323
Gps1	NM_001177874	chr11:120777113-120780307
Grsf1	NM_001098476	chr5:88679358-88685688
Gsdmd	NM_026960	chr15:75877775-75889848
Gsta2	NM_008182	chr9:78359638-78369028
Gstt2	NM_010361	chr10:75851125-75852088
Gstt4	NM_029472	chr10:75851125-75852088
Gtf2f2	NM_026816	chr14:75993730-76005024
Hdac2	NM_008229	chr10:36924179-36936339
Hecw1	NM_001081348	chr13:14416220-14440678
Hhat	NM_144881	chr1:192515470-192523128
Higd1b	NM_080846	chr11:102820525-102826748
Hipk1	NM_010432	chr3:103840160-103850871
Hist1h1d	NM_145713	chr13:23586459-23586730
Hist1h1e	NM_015787	chr13:23586459-23586730
Hist1h2ad	NM_178188	chr13:23586459-23586730
Hist1h2ae	NM_178187	chr13:23586459-23586730
Hist1h2be	NM_178194	chr13:23586459-23586730
Hist1h2bf	NM_178195	chr13:23586459-23586730
Hist1h2bg	NM_178196	chr13:23586459-23586730
Hist1h2bh	NM_178197	chr13:23586459-23586730
Hist1h3d	NM_178204	chr13:23586459-23586730
Hist1h3e	NM_178205	chr13:23586459-23586730
Hist1h3f	NM_013548	chr13:23586459-23586730
Hist1h4d	NM_175654	chr13:23586459-23586730
Hist1h4f	NM_175655	chr13:23586459-23586730
Hmgcr	NM_008255	chr13:96673967-96676083
Hmgxb4	NM_178017	chr8:75014054-75016282
Hook3	NM_207659	chr8:26060498-26063998
Hoxd10	NM_013554	chr2:74672494-74679193
Hoxd11	NR_073086	chr2:74672494-74679193
Hoxd12	NM_008274	chr2:74672494-74679193
Hoxd13	NM_008275	chr2:74672494-74679193
Hoxd3	NM_010468	chr2:74672494-74679193
Hoxd4	NM_010469	chr2:74672494-74679193
Hoxd8	NM_008276	chr2:74672494-74679193
Hoxd9	NM_013555	chr2:74672494-74679193
Hrh2	NM_001010973	chr13:54215280-54216449
Htatip2	NM_001146050	chr7:49701523-49709779
Htr5a	NM_008314	chr5:27814246-27819618
Id3	NM_008321	chr4:136146779-136147155
Id4	NM_031166	chr13:48245495-48252930
Ifi35	NM_027320	chr11:101479331-101484222
Ifitm1	NM_026820	chr7:140959493-140963147
Ifitm2	NM_030694	chr7:140959493-140963147
Ifitm3	NM_025378	chr7:140959493-140963147
Ifitm5	NM_053088	chr7:140959493-140963147
Ifnk	NM_199157	chr4:35192883-35205593
Ift52	NM_172150	chr2:163031724-163034967
Igf2bp1	NM_009951	chr11:95963457-95963849
Igf2bp2	NM_183029	chr16:22139804-22160691,chr16:22065638-22076406
Immp2l	NM_053122	chr12:41727229-41730112
Inpp4b	NM_001024617	chr8:81888038-81893809
Insm1	NM_016889	chr2:146216237-146221736
Ip6k1	NM_013785	chr9:107958676-107961853
Itgav	NM_008402	chr2:83710270-83718805
Itpr2	NM_019923	chr6:146458387-146461382
Jarid2	NM_001205044	chr13:44722282-44728811,chr13:44751578-44755855
Jazf1	NM_173406	chr6:53017913-53021329
Kat2b	NM_020005	chr17:53551474-53562079
Kbtbd13	NM_028974	chr9:65339242-65347485
Kcnb1	NM_008420	chr2:167144759-167156416
Kcnh3	NM_010601	chr15:99195132-99206318
Kcnk15	NM_001030292	chr2:163883313-163894846
Kcnq2	NM_010611	chr2:181127789-181128224
Kcnt2	NM_001081027	chr1:140429316-140438523
Kctd16	NM_026135	chr18:40307999-40308383
Kctd20	NM_025888	chr17:28981071-28985048
Kctd3	NM_172650	chr1:188994992-189013829
Kctd4	NM_026214	chr14:75993730-76005024
Kctd7	NM_172509	chr5:130186864-130198769
Kidins220	NM_001081378	chr12:24993511-24995905
Kis2	NR_003188	chrX:52747014-52759697
Klf2	NM_008452	chr8:72311164-72316413
Klf5	NM_009769	chr14:99266695-99278814
Klf8	NM_173780	chrX:153282187-153282667
Klhl20	NM_001039482	chr1:161157432-161158983
Lamc2	NM_008485	chr1:153191754-153199859
Lamtor2	NM_031248	chr3:88571941-88575859
Ldhd	NM_027570	chr8:111613194-111626600
Lekr1	NM_001037923	chr3:65650608-65657697
Lemd2	NM_146075	chr17:27238636-27241197
Lgr4	NM_172671	chr2:109936403-109943672
Lgr5	NM_010195	chr10:115469006-115475363
Lhcgr	NM_013582	chr17:88752808-88764455
Lias	NM_024471	chr5:65441368-65449138
Lifr	NM_001113386	chr15:7115701-7117127
Lima1	NM_001113545	chr15:99872588-99874866
Lin7c	NM_011699	chr2:109936403-109943672
Lmbr1	NM_020295	chr5:29253914-29254226
Lmnb1	NM_010721	chr18:56744881-56754059
Lmtk2	NM_001081109	chr5:144084239-144084759
Lphn3	NM_198702	chr5:81654034-81662271
Lrfn5	NM_178714	chr12:61609685-61623433
Lrpprc	NM_028233	chr17:84713833-84720925
Lrrc38	NM_001162983	chr4:143301955-143306371
M6pr	NM_010749	chr6:122340509-122342380
Mamdc2	NM_174857	chr19:23467896-23480653
Maml2	NM_001013813	chr9:13690546-13699803
Maneal	NM_001007573	chr4:124825058-124833160
Mars2	NM_175439	chr1:55186865-55206042
Mavs	NM_144888	chr2:131232488-131244109
Mcl1	NM_008562	chr3:95663519-95664134
Mcm6	NM_008567	chr1:128392394-128400757
Mcoln1	NM_053177	chr8:3546603-3552597
Mcrs1	NM_001164156	chr15:99195132-99206318
Mctp2	NM_001024703	chr7:72313887-72326488
Mcu	NM_001033259	chr10:59558546-59569308
Me3	NM_181407	chr7:89772972-89774168
Med23	NM_001166416	chr10:24826179-24834951
Mettl20	NM_001252096	chr6:149129271-149131409
Mex3a	NM_001029890	chr3:88571941-88575859
Mga	NM_013720	chr2:119855633-119863057
Mgat5	NM_145128	chr1:127239024-127244840
Mif	NM_010798	chr10:75851125-75852088
Mir103-2	NR_029755	chr2:131232488-131244109
Mir106a	NR_029657	chrX:52747014-52759697
Mir10b	NR_029566	chr2:74672494-74679193
Mir1195	NR_035427	chr16:30740529-30741528
Mir1306	NR_035467	chr16:18316450-18321802
Mir135a-1	NR_029549	chr9:106167745-106172217
Mir153	NR_029563	chr12:117235203-117240719
Mir185	NR_029571	chr16:18316450-18321802
Mir187	NR_029573	chr18:24394115-24402605
Mir1897	NR_035433	chr3:34646220-34654207
Mir18b	NR_030548	chrX:52747014-52759697
Mir1905	NR_035434	chr3:88571941-88575859
Mir1931	NR_035452	chr10:93176392-93184719
Mir1932	NR_035453	chr11:119395471-119404253
Mir1957	NR_035483	chr6:94750545-94751042
Mir1970	NR_035497	chr7:107339599-107349626
Mir19b-2	NR_029715	chrX:52747014-52759697
Mir205	NR_029592	chr1:193504738-193510329
Mir20b	NR_030273	chrX:52747014-52759697
Mir3063	NR_037223	chr11:95963457-95963849
Mir3098	NR_037281	chr2:131232488-131244109
Mir363	NR_029853	chrX:52747014-52759697
Mir568	NR_030576	chr16:43603858-43607319
Mir669m-2	NR_035475	chrX:77512988-77525499
Mir692-1	NR_030465	chr17:6857291-6860874
Mir92-2	NR_029748	chrX:52747014-52759697
Mirlet7g	NR_029526	chr9:106167745-106172217
Mitf	NM_001113198	chr6:97951653-97963581
Mll5	NM_026984	chr5:23401245-23408210
Mmp7	NM_010810	chr9:7711232-7721944
Mnd1	NM_029797	chr3:84181769-84206855
Mob1b	NM_026735	chr5:88679358-88685688
Mob3b	NM_178061	chr4:35192883-35205593
Morc1	NM_010816	chr16:48475204-48487658
Mpp6	NM_019939	chr6:50116268-50124565
Mreg	NM_001005423	chr1:72229057-72229323
Mri1	NM_026423	chr8:84297369-84307728
Mroh8	NM_001039557	chr2:157235993-157248452
Mrpl42	NM_026065	chr10:95456124-95461624
Mrpl47	NM_029017	chr3:32758561-32763508
Mrps14	NM_025474	chr1:160209791-160218403
Mrps23	NM_024174	chr11:88193190-88202480
Mrps24	NM_026080	chr11:5695158-5703035
Msrb2	NM_029619	chr2:19381052-19393130
Mta3	NM_001171054	chr17:83742742-83753643
Mtf1	NM_008636	chr4:124825058-124833160
Mtmr2	NR_024025	chr9:13690546-13699803
Mtmr9	NM_177594	chr14:63500247-63512856
Mtpap	NM_026157	chr18:4404147-4406114
Mut	NM_008650	chr17:40893224-40904439
Mybl2	NM_008652	chr2:163031724-163034967
Myc	NM_001177352	chr15:62010824-62013000
Myo10	NM_019472	chr15:25769968-25774038
Myo16	NM_001081397	chr8:10171635-10176907
Nacc2	NM_001037098	chr2:26055304-26055790
Naprt1	NM_172607	chr15:75877775-75889848
Nav1	NM_173437	chr1:135632302-135638111
Nav2	NM_175272	chr7:49331030-49349049
Ncl	NM_010880	chr1:86309305-86311294
Ncoa7	NM_172495	chr10:30731262-30737527
Ndfip1	NM_022996	chr18:38384197-38391265
Ndufa10	NM_024197	chr1:92432076-92433494
Ndufaf5	NM_027093	chr2:140185776-140189909
Ndufb5	NM_025316	chr3:32758561-32763508
Ndufb6	NM_001033305	chr4:40233108-40238749
Ndufs4	NM_010887	chr13:114398879-114407428,chr13:114293365-114303711
Neurog1	NM_010896	chr13:56216082-56222323,chr13:56252126-56258374
Nf1	NM_010897	chr11:79425733-79427928
Nf2	NM_001252251	chr11:4803203-4808690
Nfib	NM_001113210	chr4:82534848-82543707,chr4:82360167-82368606
Nhlh2	NM_178777	chr3:102049391-102067577
Nlrp6	NM_133946	chr7:140959493-140963147
Nme5	NM_080637	chr18:34551721-34555554
Nmnat2	NM_175460	chr1:152917700-152917927,chr1:153093241-153095703
Nod1	NM_001171007	chr6:54953357-54965258
Nodal	NM_013611	chr10:61415909-61416998
Npas3	NM_013780	chr12:53467569-53474866
Npm2	NM_181345	chr14:70623101-70635109
Nras	NM_010937	chr3:103103946-103108206
Nrg4	NM_032002	chr9:55216133-55225562
Nrxn1	NM_177284	chr17:90624904-90631719
Nt5m	NM_134029	chr11:59814350-59821932
Ntn1	NM_008744	chr11:68348151-68355072
Nudt18	NM_153136	chr14:70623101-70635109
Nufip2	NM_001024205	chr11:77673484-77680482
Nup160	NM_021512	chr2:90708501-90708895
Nxnl2	NM_029173	chr13:51122543-51125784
Oaf	NM_178644	chr9:43188633-43191963
Ocm	NM_033039	chr5:144084239-144084759
Olfr1416	NM_147038	chr1:92432076-92433494
Olfr24	NM_146606	chr9:18722044-18723061
Omp	NM_011010	chr7:98186733-98189968
Omt2a	NM_001111286	chr9:78359638-78369028
Omt2b	NM_205822	chr9:78359638-78369028
Ooep	NM_026480	chr9:78359638-78369028
Optn	NM_181848	chr2:5075850-5078408
Osbpl3	NM_001163645	chr6:50423438-50429607
Otx2os1	NR_029384	chr14:48748466-48754703,chr14:48716455-48716831
Pak1	NM_011035	chr7:97803162-97804960
Pald1	NM_013753	chr10:61415909-61416998
Palm2	NM_172868	chr4:57688883-57691170
Pam	NM_013626	chr1:98086506-98092662
Pank2	NM_153501	chr2:131232488-131244109
Pard6g	NM_053117	chr18:80107077-80107426
Paxip1	NM_018878	chr5:27814246-27819618
Pclo	NM_001110796	chr5:14586611-14595667
Pcyt1b	NM_177546	chrX:93663887-93673350
Pdcd7	NM_016688	chr9:65339242-65347485
Pde4d	NM_011056	chr13:109628543-109652292,chr13:109256686-109261943,chr13:109775280-109778813
Pdhb	NM_024221	chr14:8139665-8140749
Pdlim1	NM_016861	chr19:40261408-40273106
Pdpk1	NM_011062	chr17:24134020-24139791
Pdpn	NM_010329	chr4:143301955-143306371
Pdss1	NM_019501	chr2:22891769-22900591
Pdyn	NM_018863	chr2:129695849-129702441
Peg10	NM_130877	chr6:4738779-4740161
Pex1	NM_027777	chr5:3577075-3578932
Pgd	NM_001081274	chr4:149157495-149161173
Phc1	NM_001042623	chr6:122340509-122342380
