REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	stitchedPeakRank	isSuper
2_4239_lociStitched	chr2	171231336	171242822	2	758			NM_001163686	86	1
2_608_lociStitched	chr10	12608653	12614918	2	891	NM_011682		NM_011682	87	1
3_1771_lociStitched	chr13	20097252	20109430	3	870	NM_080288		NM_080288	88	1
2_7069_lociStitched	chr9	108703955	108711097	2	623	NM_008924	NM_020520	NM_008924	89	1
2_5265_lociStitched	chr5	67083189	67094556	2	606	NM_008888		NM_008888	90	1
2_5218_lociStitched	chr5	38642596	38653526	2	693		NM_001177902	NM_001177902	91	1
2_6072_lociStitched	chr7	37466856	37477692	2	543			NM_172385	92	1
2_662_lociStitched	chr10	24826179	24834951	2	789	NM_134005	NM_001166416	NM_134005	93	1
2_3848_lociStitched	chr2	44525287	44538545	2	919			NM_172662	94	1
2_2379_lociStitched	chr14	78721989	78734079	2	800	NM_001081336		NM_001081336	95	1
3_4761_lociStitched	chr4	35192883	35205593	3	1040	NM_001081343	NM_199157,NM_178061	NM_001081343	96	1
2_6803_lociStitched	chr9	17865574	17875145	2	459			NM_025844	97	1
3_7189_lociStitched	chrX	52747014	52759697	3	1264		NM_001034059,NR_029853,NR_029748,NR_029715,NR_030273,NR_030548,NR_029657,NR_003188	NR_003188	98	1
2_293_lociStitched	chr1	91765930	91778621	2	569		NM_007855	NM_007855	99	1
2_6069_lociStitched	chr7	36678234	36690881	2	532		NM_172298	NM_172298	100	1
3_5223_lociStitched	chr5	43802778	43814805	3	810		NM_009763,NM_001159963	NM_009763	101	1
3_5343_lociStitched	chr5	97218706	97227835	3	1216			NM_198422	102	1
2_6721_lociStitched	chr8	117493526	117504032	2	882	NM_172285		NM_172285	103	1
2_2729_lociStitched	chr15	99195132	99206318	2	491	NM_139140	NM_010601,NR_045627,NM_001164156	NM_010601	104	1
3_5614_lociStitched	chr6	28748285	28762760	3	965	NM_019776		NM_138682	105	1
2_2122_lociStitched	chr13	114026332	114034640	2	1003	NM_172595		NR_045836	106	1
3_6696_lociStitched	chr8	111613194	111626600	3	1027	NM_001168623,NM_001168622,NM_027570	NM_011742	NM_027570	107	1
2_3954_lociStitched	chr2	83710270	83718805	2	977		NM_008402	NM_008402	108	1
2_849_lociStitched	chr10	82147635	82159923	2	463	NM_001163064		NM_001163064	109	1
2_4550_lociStitched	chr3	103840160	103850871	2	604	NM_001142960	NR_040412,NM_026193,NM_008979,NM_010432,NM_133865	NM_001142960	110	1
2_4172_lociStitched	chr2	157840722	157849013	2	614	NM_025680		NM_198627	111	1
3_2126_lociStitched	chr13	114293365	114303711	3	892	NM_010887		NM_010887	112	1
3_1805_lociStitched	chr13	30065585	30081227	3	1258			NM_153546	113	1
2_622_lociStitched	chr10	17808630	17820924	2	554	NM_138628		NM_138628	114	1
2_3985_lociStitched	chr2	103348105	103361044	2	513	NR_040332	NM_007914	NR_040332	115	1
2_4451_lociStitched	chr3	65650608	65657697	2	523		NM_001037923	NM_001037923	116	1
3_1006_lociStitched	chr11	4803203	4808690	3	780	NM_001252251,NM_001252250,NM_001252253		NM_001252253	117	1
2_896_lociStitched	chr10	93176392	93184719	2	565	NM_146239	NR_035452	NR_035452	118	1
2_3406_lociStitched	chr18	38960908	38973114	2	747	NM_001033789	NM_175164,NM_010197	NM_175164	119	1
2_5462_lociStitched	chr5	129270266	129282542	2	481			NM_001081342	120	1
2_1435_lociStitched	chr12	3728748	3739153	2	599	NM_001162465,NM_007886		NM_007872	121	1
2_3896_lociStitched	chr2	65841544	65849060	2	1004	NM_153409		NM_153409	122	1
2_1880_lociStitched	chr13	48245495	48252930	2	605	NR_102303	NM_031166,NR_045162	NM_031166	123	1
2_656_lociStitched	chr10	23806198	23813464	2	691	NM_183116	NM_011979,NR_037680,NR_037681,NM_011295	NM_183116	124	1
2_3250_lociStitched	chr17	86136395	86148865	2	812	NM_030133	NM_011104	NM_030133	125	1
2_283_lociStitched	chr1	89922744	89934998	2	706	NM_010262		NM_010262	126	1
2_1298_lociStitched	chr11	88193190	88202480	2	716	NM_001172099,NM_198013	NM_024174	NM_024174	127	1
2_6155_lociStitched	chr7	72313887	72326488	2	749		NM_001024703	NM_001024703	128	1
3_4134_lociStitched	chr2	146911278	146921472	3	868	NM_001033298		NM_001033298	129	1
2_6601_lociStitched	chr8	84297369	84307728	2	735		NM_001007571,NM_026423,NM_026350	NM_026350	130	1
2_3527_lociStitched	chr18	90572720	90581255	2	616			NM_198295	131	1
3_4839_lociStitched	chr4	62306440	62314972	3	1207	NM_001045528	NM_025286,NM_175090	NM_025286	132	1
3_6032_lociStitched	chr7	18746674	18755392	3	799		NM_001004152,NR_024208,NM_011964	NM_001004152	133	1
2_5285_lociStitched	chr5	74800686	74813795	2	914			NM_001159577	134	1
2_541_lociStitched	chr1	186922832	186929569	2	695		NM_033077	NM_033077	135	1
2_6617_lociStitched	chr8	89156909	89167372	2	811			NM_021390	136	1
3_5043_lociStitched	chr4	138682695	138693694	3	1256		NM_008868,NM_178671	NM_178671	137	1
2_5718_lociStitched	chr6	54953357	54965258	2	972	NM_001171007,NM_172729	NM_026637	NM_001171007	138	1
2_703_lociStitched	chr10	36924179	36936339	2	689		NM_008229	NM_008229	139	1
2_2982_lociStitched	chr17	3505641	3516670	2	631	NM_011878,NM_001122998	NM_001101560,NR_045303,NM_146074	NM_001101560	140	1
2_5833_lociStitched	chr6	94952090	94963847	2	1067		NR_040761	NR_040761	141	1
2_1098_lociStitched	chr11	31736679	31746044	2	519			NM_001024919	142	1
2_5068_lociStitched	chr4	144996965	145006617	2	641	NM_001276465,NM_001276502		NM_011303	143	1
2_3107_lociStitched	chr17	43354694	43364246	2	731		NM_001081178	NM_001081178	144	1
2_4129_lociStitched	chr2	146661501	146673083	2	416			NR_040502	145	1
2_1167_lociStitched	chr11	55946629	55957756	2	823			NM_153079	146	1
2_5164_lociStitched	chr5	23401245	23408210	2	847		NM_026984,NR_040469	NR_040469	147	1
2_794_lociStitched	chr10	62029279	62037103	2	707			NM_007731	148	1
3_1253_lociStitched	chr11	80131928	80138101	3	1408	NM_001029856,NM_183275	NM_172133,NM_028019	NM_183275	149	1
2_1775_lociStitched	chr13	20174530	20184057	2	889	NM_080288		NM_080288	150	1
2_5621_lociStitched	chr6	29839527	29851053	2	467	NM_001171000	NM_001171001	NM_001171001	151	1
3_815_lociStitched	chr10	67454282	67462263	3	860			NM_010118	152	1
2_5176_lociStitched	chr5	26692039	26704054	2	512			NM_010075	153	1
2_2882_lociStitched	chr16	42770288	42782291	2	365	NR_040521		NR_040521	154	1
2_4195_lociStitched	chr2	163883313	163894846	2	931	NM_183023	NM_001030292	NM_183023	155	1
2_6961_lociStitched	chr9	65339242	65347485	2	545	NM_016688	NM_011802,NM_001111145,NM_028974	NM_016688	156	1
2_5283_lociStitched	chr5	73887332	73892811	2	695			NM_177561	157	1
2_4168_lociStitched	chr2	157235993	157248452	2	661	NM_001039557	NM_019642,NM_011249	NM_019642	158	1
2_1915_lociStitched	chr13	56216082	56222323	2	561		NM_145976,NM_010896	NM_010896	159	1
2_6346_lociStitched	chr7	134761815	134771646	2	661	NM_001033420		NM_001033420	160	1
3_1570_lociStitched	chr12	63021195	63028583	3	804			NM_001163271	161	1
2_5151_lociStitched	chr5	20964451	20974325	2	770		NR_030699,NM_001080977	NM_001080977	162	1
2_5108_lociStitched	chr5	3386802	3395379	2	497	NM_009873		NM_009873	163	1
3_5183_lociStitched	chr5	27814246	27819618	3	1077		NM_008314,NM_018878	NM_008314	164	1
2_3362_lociStitched	chr18	30509289	30519635	2	548			NM_181414	165	1
2_567_lociStitched	chr1	192515470	192523128	2	532	NM_144881		NM_144881	166	1
2_6689_lociStitched	chr8	109874200	109885553	2	420	NM_001122594	NR_028532	NM_001122594	167	1
2_5474_lociStitched	chr5	131438621	131449605	2	699	NM_177047		NM_145218	168	1
3_774_lociStitched	chr10	59558546	59569308	3	1038	NM_001033259		NM_001033259	169	1
3_3401_lociStitched	chr18	38384197	38391265	3	821		NM_022996,NM_011937	NM_022996	170	1
2_2902_lociStitched	chr16	48475204	48487658	2	659	NM_010816		NM_010816	171	1
3_1479_lociStitched	chr12	27065008	27083540	3	947		NR_045052	NR_045052	172	1
2_3608_lociStitched	chr19	28560701	28566929	2	714	NM_175459		NR_045330	173	1
2_4506_lociStitched	chr3	88571941	88575859	2	632		NM_001029890,NM_033526,NM_025448,NM_001198911,NM_008487,NM_001198912,NR_035434,NM_016899,NM_031248	NM_025448	174	1
3_265_lociStitched	chr1	87224855	87230941	3	1024	NM_001039170,NM_023314,NM_001039169	NM_027084,NM_021600,NM_009604,NM_028889	NM_001039169	175	1
2_5765_lociStitched	chr6	72753910	72758781	2	555	NM_009332		NM_009332	176	1
2_5202_lociStitched	chr5	33535591	33542251	2	415			NM_178390	177	1
2_6842_lociStitched	chr9	36794534	36803259	2	599	NM_001199494,NM_007915	NM_183171,NM_008408	NM_001199494	178	1
3_2313_lociStitched	chr14	63500247	63512856	3	1187	NM_021480	NM_177594	NM_021480	179	1
2_4671_lociStitched	chr4	4437617	4446232	2	579			NM_001002927	180	1
3_6981_lociStitched	chr9	71217218	71232195	3	1341	NM_009022		NM_009022	181	1
3_2129_lociStitched	chr13	114398879	114407428	3	1594		NM_010887	NM_010887	182	1
3_5456_lociStitched	chr5	127660423	127670391	3	679	NM_177005	NM_133895	NM_177005	183	1
2_2816_lociStitched	chr16	22065638	22076406	2	562	NM_183029		NR_027488	184	1
2_7105_lociStitched	chr9	118255535	118266676	2	853			NM_026442	185	1
2_5566_lociStitched	chr6	6851387	6860098	2	741	NR_015388	NM_010057,NR_002839,NM_010056	NM_010057	186	1
2_85_lociStitched	chr1	33494583	33504693	2	752	NM_008922		NM_008922	187	1
2_525_lociStitched	chr1	182181819	182191506	2	563		NM_001166728	NM_001166728	188	1
2_6541_lociStitched	chr8	64399523	64409015	2	772			NR_030491	189	1
2_1393_lociStitched	chr11	112811089	112820426	2	638		NM_011448	NM_011448	190	1
2_5936_lociStitched	chr6	128254583	128261973	2	989	NM_011567		NM_011567	191	1
2_4142_lociStitched	chr2	148029196	148041049	2	496		NM_010446	NM_010446	192	1
3_4986_lociStitched	chr4	124825058	124833160	3	827	NM_008636	NM_153566,NM_001256432,NM_001142727,NM_001007573	NM_001142727	193	1
2_1547_lociStitched	chr12	54102610	54111413	2	705			NM_028133	194	1
2_3991_lociStitched	chr2	104817969	104826510	2	719		NM_001123327,NM_178695	NM_001123327	195	1
2_831_lociStitched	chr10	70871906	70878308	2	441			NR_045292	196	1
2_5172_lociStitched	chr5	25671142	25676452	2	521		NM_020570	NM_020570	197	1
2_2235_lociStitched	chr14	34316250	34323799	2	833	NM_008133	NR_027380,NM_029389,NM_183278	NM_008133	198	1
2_912_lociStitched	chr10	95883552	95891795	2	891		NM_001001932	NM_001001932	199	1
2_2090_lociStitched	chr13	109256686	109261943	2	896	NM_011056		NR_030644	200	1
2_1865_lociStitched	chr13	44722282	44728811	2	494		NM_001205044,NM_001205043	NM_001205044	201	1
2_4213_lociStitched	chr2	167144759	167156416	2	720	NM_008420		NM_008420	202	1
2_6164_lociStitched	chr7	73535034	73539408	2	702	NM_001081345	NR_037569	NM_001081345	203	1
2_3994_lociStitched	chr2	105400714	105408728	2	491		NM_009037	NM_009037	204	1
2_4909_lociStitched	chr4	99636122	99642453	2	1069		NM_010425	NM_010425	205	1
3_5014_lociStitched	chr4	132011645	132018909	3	1061	NM_183428,NM_001128606,NM_001128607		NM_001128606	206	1
2_1129_lociStitched	chr11	44761455	44767592	2	701	NM_007897		NM_007897	207	1
2_2255_lociStitched	chr14	48748466	48754703	2	941	NR_029384		NR_029384	208	1
2_20_lociStitched	chr1	7313466	7319713	2	875			NM_183028	209	1
2_359_lociStitched	chr1	128392394	128400757	2	742	NM_177445	NM_008567,NM_145507	NM_177445	210	1
2_3100_lociStitched	chr17	40893224	40904439	2	514		NM_008650,NM_027834,NM_001145060,NM_031863	NM_001145060	211	1
2_6789_lociStitched	chr9	14233812	14245432	2	901		NM_030261	NM_030261	212	1
2_1567_lociStitched	chr12	61609685	61623433	2	1373	NM_178714		NM_178714	213	1
2_2344_lociStitched	chr14	70623101	70635109	2	536	NM_013514,NM_001252664,NM_001252663,NM_001252665	NM_153136,NM_194345,NM_001252666,NM_008004,NM_181345	NM_001252665	214	1
2_3273_lociStitched	chr17	93313315	93324530	2	610			NM_009625	215	1
2_6368_lociStitched	chr7	140959493	140963147	2	779		NM_133946,NM_145387,NM_026820,NM_001112715,NM_053088,NM_030694,NM_025378	NM_030694	216	1
2_1020_lociStitched	chr11	7412667	7423825	2	576			NM_008343	217	1
2_7240_lociStitched	chrX	93663887	93673350	2	1060	NM_177546	NM_211138,NM_008892	NM_211138	218	1
3_1309_lociStitched	chr11	89611482	89624236	3	778			NM_001080933	219	1
3_3864_lociStitched	chr2	51038702	51050192	3	1419			NM_028810	220	1
2_6274_lociStitched	chr7	113142318	113146160	2	525		NR_045978	NR_045978	221	1
3_6785_lociStitched	chr9	13690546	13699803	3	947	NM_001013813,NM_173776	NR_024025	NM_173776	222	1
2_5519_lociStitched	chr5	142800645	142806563	2	673	NM_001122730,NM_178242		NM_001122730	223	1
2_1173_lociStitched	chr11	59814350	59821932	2	543	NR_045686,NM_011991	NM_134029,NM_183139,NM_001271357,NM_146018	NR_045686	224	1
3_4013_lociStitched	chr2	109936403	109943672	3	1062	NM_172671	NM_011699,NR_033473	NM_172671	225	1
2_4873_lociStitched	chr4	82534848	82543707	2	465		NM_001113210	NM_001113210	226	1
2_1233_lociStitched	chr11	77673484	77680482	2	947		NM_001024205,NM_009965	NM_001024205	227	1
2_5323_lociStitched	chr5	88679358	88685688	2	709		NM_026735,NM_001098476,NM_178700	NM_178700	228	1
2_4748_lociStitched	chr4	32479374	32489518	2	559	NM_001109661		NM_001109661	229	1
2_4965_lociStitched	chr4	119403504	119412204	2	641	NM_029286	NM_001014900,NM_001270446,NM_028506,NM_026494	NM_029286	230	1
2_1380_lociStitched	chr11	109100826	109110087	2	426		NR_037978	NR_037978	231	1
2_872_lociStitched	chr10	85539560	85543668	2	545	NM_028709		NM_001017525	232	1
2_5592_lociStitched	chr6	16514202	16524390	2	537			NM_031198	233	1
2_686_lociStitched	chr10	30731262	30737527	2	728	NM_172495		NM_172495	234	1
2_3265_lociStitched	chr17	88752808	88764455	2	442	NM_013582		NM_013582	235	1
2_6380_lociStitched	chr7	145136072	145139509	2	577			NR_033626	236	1
2_6656_lociStitched	chr8	95830217	95833760	2	626		NR_015574,NM_178078,NM_172758	NM_172758	237	1
2_1867_lociStitched	chr13	44751578	44755855	2	747	NM_001205044,NM_001205043		NM_001205043	238	1
2_4242_lociStitched	chr2	171279210	171285891	2	594			NM_001163686	239	1
2_5693_lociStitched	chr6	50116268	50124565	2	746	NM_019939		NM_019939	240	1
2_5640_lociStitched	chr6	32787418	32797731	2	568	NM_025336		NM_175750	241	1
2_392_lociStitched	chr1	135632302	135638111	2	688		NM_173437	NM_173437	242	1
3_4478_lociStitched	chr3	83582649	83591481	3	1184		NR_036591	NR_036591	243	1
5_6682_lociStitched	chr8	108722885	108730283	5	1630	NM_007496		NM_007496	244	1
2_935_lociStitched	chr10	108568233	108573078	2	606	NM_001252341		NM_203660	245	1
2_1275_lociStitched	chr11	84081639	84089210	2	482	NM_172562	NM_019819	NM_019819	246	1
2_4192_lociStitched	chr2	163031724	163034967	2	572	NM_172150	NM_013731,NM_008652	NM_172150	247	1
2_7080_lociStitched	chr9	111725098	111732729	2	618		NM_016853	NM_016853	248	1
2_7130_lociStitched	chrX	8207221	8220025	2	554		NM_001166437,NM_007898,NM_145908,NM_133991	NM_145908	249	1
2_3746_lociStitched	chr2	15144836	15156793	2	577			NM_029466	250	1
1_3674_lociStitched	chr19	45649854	45650036	1	183	NM_013907		NM_013907	251	1
2_407_lociStitched	chr1	139494578	139500298	2	784		NM_009791,NM_031164	NM_031164	252	1
2_3049_lociStitched	chr17	24134020	24139791	2	694	NM_011062,NM_001080773	NM_172935,NR_037854,NM_009729	NM_001080773	253	1
2_4099_lociStitched	chr2	138326495	138338285	2	471		NM_145534	NM_145534	254	1
2_5256_lociStitched	chr5	65441368	65449138	2	603	NM_133697	NM_024471,NM_011292,NM_009466	NM_009466	255	1
2_15_lociStitched	chr1	6448318	6458364	2	1353		NM_001244693	NM_001244693	256	1
3_5913_lociStitched	chr6	122340509	122342380	3	1017		NM_010749,NM_001042623,NM_001271579	NM_001271579	257	1
2_909_lociStitched	chr10	95456124	95461624	2	857		NR_045339,NM_001168657,NM_001168656,NM_001168655,NM_007706,NM_026065	NR_045339	258	1
2_2530_lociStitched	chr15	25769968	25774038	2	709	NM_019472		NM_001034851	259	1
2_7219_lociStitched	chrX	77512988	77525499	2	502	NM_020601	NR_035475	NM_020601	260	1
4_1816_lociStitched	chr13	34238345	34249210	4	1435	NM_001033167		NM_001110515	261	1
2_3315_lociStitched	chr18	13712598	13719972	2	653	NM_145492		NM_145492	262	1
2_433_lociStitched	chr1	153191754	153199859	2	518		NM_008485	NM_008485	263	1
2_4262_lociStitched	chr2	174912225	174917768	2	551			NM_001085546	264	1
2_2367_lociStitched	chr14	77239805	77251190	2	792	NM_001253759		NM_001253759	265	1
2_2669_lociStitched	chr15	77102581	77109820	2	869	NM_175387,NM_001110828		NM_001110828	266	1
2_3345_lociStitched	chr18	24394115	24402605	2	1022		NR_029573	NR_029573	267	1
3_410_lociStitched	chr1	140429316	140438523	3	1034	NM_001081027		NM_001081027	268	1
2_2619_lociStitched	chr15	59294527	59302566	2	669		NR_045613,NM_009270	NR_045613	269	1
2_2671_lociStitched	chr15	77202198	77207416	2	672	NM_175387	NM_001110828	NM_001110828	270	1
2_2549_lociStitched	chr15	34008613	34016198	2	596			NM_026002	271	1
2_6630_lociStitched	chr8	90851601	90857272	2	521	NM_177224		NM_177224	272	1
2_4767_lociStitched	chr4	40233108	40238749	2	609	NM_172689	NR_045265,NM_134097,NM_001033305	NM_172689	273	1
2_5708_lociStitched	chr6	53201294	53208789	2	602		NR_073371,NR_073372	NR_073371	274	1
2_6378_lociStitched	chr7	144822039	144828442	2	465		NM_008007,NM_010202	NM_008007	275	1
2_1030_lociStitched	chr11	9983057	9995086	2	482			NM_178259	276	1
2_4685_lociStitched	chr4	8093675	8098452	2	570			NM_007592	277	1
3_531_lociStitched	chr1	185099082	185105347	3	903			NM_001163754	278	1
2_5934_lociStitched	chr6	127692254	127701362	2	688	NM_201371		NM_201371	279	1
2_512_lociStitched	chr1	179272294	179277251	2	690	NM_027188		NM_027188	280	1
3_6455_lociStitched	chr8	26060498	26063998	3	982	NM_207659	NM_008033	NM_008033	281	1
2_1635_lociStitched	chr12	84618958	84625343	2	740		NM_007701,NM_001168589,NM_001168588,NM_001033776,NM_008992	NM_008992	282	1
2_741_lociStitched	chr10	44539471	44545387	2	794			NM_007548	283	1
2_4121_lociStitched	chr2	146062518	146073613	2	780			NM_175280	284	1
2_4750_lociStitched	chr4	32948745	32956836	2	635	NM_001012451	NM_027491,NM_080471	NM_001012451	285	1
2_770_lociStitched	chr10	58594539	58601532	2	735	NM_010100		NM_010100	286	1
2_924_lociStitched	chr10	99461204	99469371	2	573			NR_038019	287	1
