Input	Input Type	MGI Gene/Marker ID	Ensembl ID
2210016L21Rik	current symbol	MGI:1919607	ENSMUSG00000029559
2210018M11Rik	old symbol	MGI:1924203	ENSMUSG00000035401
2300009A05Rik	current symbol	MGI:1916728	ENSMUSG00000032403
2310003H01Rik	old symbol	MGI:1919135	ENSMUSG00000025384
2310009A05Rik	old symbol	MGI:1913614	ENSMUSG00000098332
2310009B15Rik	current symbol	MGI:1916799	ENSMUSG00000079283
2310011J03Rik	current symbol	MGI:1913624	ENSMUSG00000020133
2310014L17Rik	old symbol	MGI:1924198	ENSMUSG00000033967
2310022B05Rik	current symbol	MGI:1916801	ENSMUSG00000031983
2310033P09Rik	current symbol	MGI:1915112	ENSMUSG00000020441
2310039H08Rik	current symbol	MGI:1914351	ENSMUSG00000062619
2310040G24Rik	current symbol	MGI:1916897	ENSMUSG00000101655
2310057M21Rik	current symbol	MGI:1915527	ENSMUSG00000040177
2310068J16Rik	current symbol	MGI:1917531	ENSMUSG00000100084
2410004B18Rik	current symbol	MGI:1913671	ENSMUSG00000036873
2410004N09Rik	old symbol	MGI:1916999	ENSMUSG00000087590
2410006H16Rik	current symbol	MGI:1916471	ENSMUSG00000086841
2410015M20Rik	old symbol	MGI:2442174	ENSMUSG00000049760
2410016O06Rik	old symbol	MGI:1919202	ENSMUSG00000046791
2410127L17Rik	old symbol	MGI:1914633	ENSMUSG00000024726
2410131K14Rik	old symbol	MGI:1924042	ENSMUSG00000032840
2510002D24Rik	current symbol	MGI:1919557	ENSMUSG00000071632
2510003E04Rik	old symbol	MGI:1919570	ENSMUSG00000036955
2510009E07Rik	current symbol	MGI:1919440	ENSMUSG00000043391
2610001J05Rik	old symbol	MGI:1913770	ENSMUSG00000052419
2610015P09Rik	old symbol	MGI:1922661	ENSMUSG00000022701
2610301B20Rik	old symbol	MGI:1914407	ENSMUSG00000059482
2610306M01Rik	current symbol	MGI:1914420	ENSMUSG00000100164
2610318N02Rik	current symbol	MGI:1917708	ENSMUSG00000049916
2610507B11Rik	old symbol	MGI:1919753	ENSMUSG00000010277
2610524H06Rik	current symbol	MGI:2447819	
2700060E02Rik	old symbol	MGI:1915295	ENSMUSG00000021807
2700081O15Rik	old symbol	MGI:1919667	ENSMUSG00000053080
2700097O09Rik	current symbol	MGI:1919908	ENSMUSG00000062198
2700099C18Rik	current symbol	MGI:1924272	ENSMUSG00000098090
2810002D19Rik	current symbol	MGI:1913707	ENSMUSG00000045464
2810004N23Rik	current symbol	MGI:1913773	ENSMUSG00000031984
2810006K23Rik	old symbol	MGI:1919900	ENSMUSG00000047635
2810025M15Rik	current symbol	MGI:1917203	ENSMUSG00000049881
2810408A11Rik	current symbol	MGI:1917669	ENSMUSG00000018570
2810408I11Rik	current symbol	MGI:1917191	ENSMUSG00000087213
2810408M09Rik	old symbol	MGI:1918294	ENSMUSG00000039725
2810428I15Rik	old symbol	MGI:1913712	ENSMUSG00000058833
2810474O19Rik	old symbol	MGI:1914496	ENSMUSG00000032712
2900011O08Rik	old symbol	MGI:1914504	ENSMUSG00000044117
2900041M22Rik	current symbol	MGI:1925653	ENSMUSG00000054418
3010026O09Rik	old symbol	MGI:1915317	ENSMUSG00000020381
3110040N11Rik	current symbol	MGI:1914540	ENSMUSG00000025102
3110043O21Rik	old symbol	MGI:1920455	ENSMUSG00000028300
3110045C21Rik	current symbol	MGI:1914553	ENSMUSG00000097503
3110052M02Rik	old symbol	MGI:1920479	ENSMUSG00000035868
3110082I17Rik	current symbol	MGI:1920462	ENSMUSG00000053553
3830406C13Rik	old symbol	MGI:1917937	ENSMUSG00000033111
4831440E17Rik	current symbol	MGI:2445144	
4833439L19Rik	current symbol	MGI:1921162	ENSMUSG00000025871
4930430F08Rik	old symbol	MGI:1921197	ENSMUSG00000046567
4930452B06Rik	old symbol	MGI:1926154	ENSMUSG00000021747
4930453N24Rik	current symbol	MGI:1914859	ENSMUSG00000059920
4930506M07Rik	old symbol	MGI:1918903	ENSMUSG00000041362
4930550C14Rik	current symbol	MGI:1922561	ENSMUSG00000005131
4930558J18Rik	current symbol	MGI:1922573	ENSMUSG00000097519
4930563E22Rik	current symbol	MGI:1922554	ENSMUSG00000053574
4931406P16Rik	old symbol	MGI:1924311	ENSMUSG00000066571
4931408D14Rik	current symbol	MGI:1924309	ENSMUSG00000120174
4931414P19Rik	current symbol	MGI:1921609	ENSMUSG00000022179
4931428F04Rik	old symbol	MGI:1921606	ENSMUSG00000014837
4933404O12Rik	current symbol	MGI:1914002	ENSMUSG00000097908
4933426M11Rik	old symbol	MGI:2444661	ENSMUSG00000021133
4933427D14Rik	current symbol	MGI:1921727	ENSMUSG00000020807
4933427D14Rik	current symbol	MGI:1921727	ENSMUSG00000107877
4933430I17Rik	current symbol	MGI:3045314	ENSMUSG00000058046
5330426P16Rik	old symbol	MGI:1915440	ENSMUSG00000022639
5430416N02Rik	current symbol	MGI:1918676	ENSMUSG00000097772
5730455P16Rik	current symbol	MGI:1917841	ENSMUSG00000057181
5730508B09Rik	old symbol	MGI:1917867	ENSMUSG00000050549
5730559C18Rik	old symbol	MGI:1921579	ENSMUSG00000041605
5830415F09Rik	old symbol	MGI:1922003	ENSMUSG00000028331
5830418K08Rik	old symbol	MGI:2442521	ENSMUSG00000046111
6230400D17Rik	current symbol	MGI:1923383	ENSMUSG00000097577
8030462N17Rik	old symbol	MGI:2444951	ENSMUSG00000047466
9030617O03Rik	old symbol	MGI:2444813	ENSMUSG00000021185
9030624J02Rik	old symbol	MGI:1918767	ENSMUSG00000030982
9130401M01Rik	current symbol	MGI:1923008	ENSMUSG00000101892
9330159F19Rik	current symbol	MGI:3036239	ENSMUSG00000004360
9430016H08Rik	old symbol	MGI:1915365	ENSMUSG00000025971
9430038I01Rik	current symbol	MGI:1924502	ENSMUSG00000040139
9530068E07Rik	current symbol	MGI:2654705	ENSMUSG00000036275
9630033F20Rik	old symbol	MGI:2442752	ENSMUSG00000038028
9930021J03Rik	old symbol	MGI:2444398	ENSMUSG00000046138
9930104L06Rik	old symbol	MGI:3041172	ENSMUSG00000044730
A230046K03Rik	old symbol	MGI:2441787	ENSMUSG00000034560
A230050P20Rik	old symbol	MGI:2441788	ENSMUSG00000038884
A330069E16Rik	current symbol	MGI:3583899	ENSMUSG00000120340
A430005L14Rik	current symbol	MGI:2140680	ENSMUSG00000047613
A630089N07Rik	current symbol	MGI:2444323	ENSMUSG00000116673
A730017L22Rik	current symbol	MGI:3584452	ENSMUSG00000085566
A730090N16Rik	current symbol	MGI:2442748	ENSMUSG00000090120
A930004D18Rik	current symbol	MGI:1925190	ENSMUSG00000054057
A930005H10Rik	current symbol	MGI:1915411	ENSMUSG00000054426
A930013F10Rik	current symbol	MGI:1915324	
AA467197	current symbol	MGI:3034182	ENSMUSG00000033213
AA467197	Genbank	MGI:3034182	ENSMUSG00000033213
AA986860	current symbol	MGI:2138143	ENSMUSG00000042510
AA986860	Genbank	MGI:2138143	ENSMUSG00000042510
AA987161	old symbol	MGI:2145180	ENSMUSG00000058093
AA987161	Genbank	MGI:2145180	ENSMUSG00000058093
AI314180	old symbol	MGI:2140220	ENSMUSG00000050812
AI314180	Genbank	MGI:2140220	ENSMUSG00000050812
AI413582	old symbol	MGI:2146839	ENSMUSG00000062753
AI413582	Genbank	MGI:2146839	ENSMUSG00000062753
AI414108	old symbol	MGI:2685354	ENSMUSG00000034275
AI414108	Genbank	MGI:2685354	ENSMUSG00000034275
AI462493	old symbol	MGI:2147553	ENSMUSG00000071654
AI462493	Genbank	MGI:2147553	ENSMUSG00000071654
AI464131	old symbol	MGI:2140300	ENSMUSG00000046312
AI464131	Genbank	MGI:2140300	ENSMUSG00000046312
AI597479	current symbol	MGI:2138299	ENSMUSG00000010290
AI597479	Genbank	MGI:2138299	ENSMUSG00000010290
AI661453	current symbol	MGI:2146908	ENSMUSG00000034382
AI661453	Genbank	MGI:2146908	ENSMUSG00000034382
AI846148	old symbol	MGI:2147611	ENSMUSG00000024970
AI846148	Genbank	MGI:2147611	ENSMUSG00000024970
AU019823	old symbol	MGI:2143205	ENSMUSG00000059820
AU019823	Genbank	MGI:2143205	ENSMUSG00000059820
AU022252	current symbol	MGI:2140466	ENSMUSG00000078584
AU022252	Genbank	MGI:2140466	ENSMUSG00000078584
AU040320	current symbol	MGI:2140475	ENSMUSG00000028830
AU040320	Genbank	MGI:2140475	ENSMUSG00000028830
AW549877	old symbol	MGI:2146232	ENSMUSG00000041935
AW549877	Genbank	MGI:2146232	ENSMUSG00000041935
Aacs	current symbol	MGI:1926144	ENSMUSG00000029482
Aagab	current symbol	MGI:1914189	ENSMUSG00000037257
Aak1	current symbol	MGI:1098687	ENSMUSG00000057230
Aamp	current symbol	MGI:107809	ENSMUSG00000006299
Aard	current symbol	MGI:2181621	ENSMUSG00000068522
Aars	old symbol	MGI:2384560	ENSMUSG00000031960
Aars2	current symbol	MGI:2681839	ENSMUSG00000023938
Aars2	zebrafish symbol	MGI:2136878	ENSMUSG00000074892
Aarsd1	current symbol	MGI:1916934	ENSMUSG00000075528
Aasdhppt	current symbol	MGI:1914868	ENSMUSG00000025894
Aatf	current symbol	MGI:1929608	ENSMUSG00000018697
Abca1	current symbol	MGI:99607	ENSMUSG00000015243
Abca3	current symbol	MGI:1351617	ENSMUSG00000024130
Abca5	current symbol	MGI:2386607	ENSMUSG00000018800
Abca5	zebrafish symbol	MGI:1923434	ENSMUSG00000044749
Abca5	zebrafish symbol	MGI:2386846	ENSMUSG00000041828
Abca5	zebrafish symbol	MGI:1351668	ENSMUSG00000020620
Abca5	zebrafish symbol	MGI:2386796	ENSMUSG00000041797
Abca7	current symbol	MGI:1351646	ENSMUSG00000035722
Abcb10	current symbol	MGI:1860508	ENSMUSG00000031974
Abcb6	current symbol	MGI:1921354	ENSMUSG00000026198
Abcb8	current symbol	MGI:1351667	ENSMUSG00000028973
Abcc1	current symbol	MGI:102676	ENSMUSG00000023088
Abcc10	current symbol	MGI:2386976	ENSMUSG00000032842
Abcc4	current symbol	MGI:2443111	ENSMUSG00000032849
Abcc5	current symbol	MGI:1351644	ENSMUSG00000022822
Abcd4	current symbol	MGI:1349217	ENSMUSG00000021240
Abce1	current symbol	MGI:1195458	ENSMUSG00000058355
Abcf1	current symbol	MGI:1351658	ENSMUSG00000038762
Abcf2	current symbol	MGI:1351657	ENSMUSG00000028953
Abcf3	current symbol	MGI:1351656	ENSMUSG00000003234
Abcg2	current symbol	MGI:1347061	ENSMUSG00000029802
Abcg2	human symbol	MGI:1351624	ENSMUSG00000029299
Abhd11	current symbol	MGI:1916008	ENSMUSG00000040532
Abhd12	current symbol	MGI:1923442	ENSMUSG00000032046
Abhd13	current symbol	MGI:1916154	ENSMUSG00000040396
Abhd16a	current symbol	MGI:99476	ENSMUSG00000007036
Abhd4	current symbol	MGI:1915938	ENSMUSG00000040997
Abhd5	current symbol	MGI:1914719	ENSMUSG00000032540
Abhd6	current symbol	MGI:1913332	ENSMUSG00000025277
Abhd8	current symbol	MGI:1918946	ENSMUSG00000007950
Abi1	current symbol	MGI:104913	ENSMUSG00000058835
Abl2	current symbol	MGI:87860	ENSMUSG00000026596
Ablim1	current symbol	MGI:1194500	ENSMUSG00000025085
Abr	current symbol	MGI:107771	ENSMUSG00000017631
Abtb1	current symbol	MGI:1933148	ENSMUSG00000030083
Abtb2	current symbol	MGI:2139365	ENSMUSG00000032724
Acaa2	current symbol	MGI:1098623	ENSMUSG00000036880
Acad11	current symbol	MGI:2143169	ENSMUSG00000090150
Acad12	current symbol	MGI:2443320	ENSMUSG00000042647
Acad8	current symbol	MGI:1914198	ENSMUSG00000031969
Acad9	current symbol	MGI:1914272	ENSMUSG00000027710
Acadl	current symbol	MGI:87866	ENSMUSG00000026003
Acadm	current symbol	MGI:87867	ENSMUSG00000062908
Acads	current symbol	MGI:87868	ENSMUSG00000029545
Acadsb	current symbol	MGI:1914135	ENSMUSG00000030861
Acap1	current symbol	MGI:2388270	ENSMUSG00000001588
Acat1	current symbol	MGI:87870	ENSMUSG00000032047
Acat1	human synonym	MGI:104665	ENSMUSG00000026600
Acat2	current symbol	MGI:87871	ENSMUSG00000023832
Acat2	human symbol	MGI:109182	ENSMUSG00000062480
Acat2	synonym	MGI:1332226	ENSMUSG00000023045
Acbd3	current symbol	MGI:2181074	ENSMUSG00000026499
Acbd6	current symbol	MGI:1919732	ENSMUSG00000033701
Acbd7	current symbol	MGI:1925495	ENSMUSG00000026644
Accs	current symbol	MGI:1919717	ENSMUSG00000040272
Acd	current symbol	MGI:87873	ENSMUSG00000038000
Acer2	current symbol	MGI:1920932	ENSMUSG00000038007
Acer3	current symbol	MGI:1913440	ENSMUSG00000030760
Acin1	current symbol	MGI:1891824	ENSMUSG00000022185
Acly	current symbol	MGI:103251	ENSMUSG00000020917
Aco2	current symbol	MGI:87880	ENSMUSG00000022477
Acot1	current symbol	MGI:1349396	ENSMUSG00000072949
Acot1	human symbol	MGI:2159619	ENSMUSG00000021228
Acot1	human symbol	MGI:2384969	ENSMUSG00000042540
Acot11	current symbol	MGI:1913736	ENSMUSG00000034853
Acot13	current symbol	MGI:1914084	ENSMUSG00000006717
Acot7	current symbol	MGI:1917275	ENSMUSG00000028937
Acot8	current symbol	MGI:2158201	ENSMUSG00000017307
Acoxl	current symbol	MGI:1921371	ENSMUSG00000027380
Acp2	current symbol	MGI:87882	ENSMUSG00000002103
Acp5	current symbol	MGI:87883	ENSMUSG00000001348
Acp6	current symbol	MGI:1931010	ENSMUSG00000028093
Acrbp	current symbol	MGI:1859515	ENSMUSG00000072770
Acsbg1	current symbol	MGI:2385656	ENSMUSG00000032281
Acsf2	current symbol	MGI:2388287	ENSMUSG00000076435
Acsl1	current symbol	MGI:102797	ENSMUSG00000018796
Acsl3	current symbol	MGI:1921455	ENSMUSG00000032883
Acsl5	current symbol	MGI:1919129	ENSMUSG00000024981
Acss1	current symbol	MGI:1915988	ENSMUSG00000027452
Actl6a	current symbol	MGI:1861453	ENSMUSG00000027671
Actn1	current symbol	MGI:2137706	ENSMUSG00000015143
Actn4	current symbol	MGI:1890773	ENSMUSG00000054808
Actr10	current symbol	MGI:1891654	ENSMUSG00000021076
Actr1a	current symbol	MGI:1858964	ENSMUSG00000025228
Actr1b	current symbol	MGI:1917446	ENSMUSG00000037351
Actr5	current symbol	MGI:1924748	ENSMUSG00000037761
Actr6	current symbol	MGI:1914269	ENSMUSG00000019948
Actr8	current symbol	MGI:1860775	ENSMUSG00000015971
Acvr2b	current symbol	MGI:87912	ENSMUSG00000061393
Acyp1	current symbol	MGI:1913454	ENSMUSG00000008822
Ada	current symbol	MGI:87916	ENSMUSG00000017697
Adal	current symbol	MGI:1923144	ENSMUSG00000027259
Adam10	current symbol	MGI:109548	ENSMUSG00000054693
Adam19	current symbol	MGI:105377	ENSMUSG00000011256
Adam1a	current symbol	MGI:2429504	ENSMUSG00000072647
Adam23	current symbol	MGI:1345162	ENSMUSG00000025964
Adamts10	current symbol	MGI:2449112	ENSMUSG00000024299
Adamts2	current symbol	MGI:1347356	ENSMUSG00000036545
Adamts7	current symbol	MGI:1347346	ENSMUSG00000032363
Adamtsl1	current symbol	MGI:1924989	ENSMUSG00000066113
Adamtsl4	current symbol	MGI:2389008	ENSMUSG00000015850
Adap1	current symbol	MGI:2442201	ENSMUSG00000056413
Adar	current symbol	MGI:1889575	ENSMUSG00000027951
Adarb1	current symbol	MGI:891999	ENSMUSG00000020262
Adat1	current symbol	MGI:1353631	ENSMUSG00000031949
Adat2	current symbol	MGI:1914007	ENSMUSG00000019808
Adck1	current symbol	MGI:1919363	ENSMUSG00000021044
Adck5	current symbol	MGI:2679274	ENSMUSG00000022550
Adcy6	current symbol	MGI:87917	ENSMUSG00000022994
Adcy9	current symbol	MGI:108450	ENSMUSG00000005580
Add1	current symbol	MGI:87918	ENSMUSG00000029106
Add1	rat synonym	MGI:107606	ENSMUSG00000020538
Adh1	current symbol	MGI:87921	ENSMUSG00000074207
Adh5	current symbol	MGI:87929	ENSMUSG00000028138
Adh7	current symbol	MGI:87926	ENSMUSG00000055301
Adhfe1	current symbol	MGI:1923437	ENSMUSG00000025911
Adipor1	current symbol	MGI:1919924	ENSMUSG00000026457
Adipor2	current symbol	MGI:93830	ENSMUSG00000030168
Adk	current symbol	MGI:87930	ENSMUSG00000039197
Adnp	current symbol	MGI:1338758	ENSMUSG00000051149
Adnp2	current symbol	MGI:2448562	ENSMUSG00000053950
Adpgk	current symbol	MGI:1919391	ENSMUSG00000025236
Adprhl2	old symbol	MGI:2140364	ENSMUSG00000042558
Adrb2	current symbol	MGI:87938	ENSMUSG00000045730
Adrb3	current symbol	MGI:87939	ENSMUSG00000031489
Adrbk1	old symbol	MGI:87940	ENSMUSG00000024858
Adsl	current symbol	MGI:103202	ENSMUSG00000022407
Adssl1	old symbol	MGI:87947	ENSMUSG00000011148
Aebp2	current symbol	MGI:1338038	ENSMUSG00000030232
Aen	current symbol	MGI:1915298	ENSMUSG00000030609
Aes	old symbol	MGI:95806	ENSMUSG00000054452
Aff1	current symbol	MGI:1100819	ENSMUSG00000029313
Aff4	current symbol	MGI:2136171	ENSMUSG00000049470
Afg3l2	current symbol	MGI:1916847	ENSMUSG00000024527
Afmid	current symbol	MGI:2448704	ENSMUSG00000017718
Aftph	current symbol	MGI:1923012	ENSMUSG00000049659
Agap3	current symbol	MGI:2183446	ENSMUSG00000023353
Agbl5	current symbol	MGI:2441745	ENSMUSG00000029165
Agfg1	current symbol	MGI:1333754	ENSMUSG00000026159
Agfg2	current symbol	MGI:2443267	ENSMUSG00000029722
Aggf1	current symbol	MGI:1913799	ENSMUSG00000021681
Agpat2	zebrafish symbol	MGI:1932075	ENSMUSG00000034254
Agpat2	current symbol	MGI:1914762	ENSMUSG00000026922
Agpat4	current symbol	MGI:1915512	ENSMUSG00000023827
Agpat5	current symbol	MGI:1196345	ENSMUSG00000031467
Agpat6	old symbol	MGI:2142716	ENSMUSG00000031545
Agps	current symbol	MGI:2443065	ENSMUSG00000042410
Agrn	current symbol	MGI:87961	ENSMUSG00000041936
Agtrap	current symbol	MGI:1339977	ENSMUSG00000029007
Ahctf1	current symbol	MGI:1915033	ENSMUSG00000026491
Ahdc1	current symbol	MGI:2444218	ENSMUSG00000037692
Ahi1	current symbol	MGI:87971	ENSMUSG00000019986
Ahnak	current symbol	MGI:1316648	ENSMUSG00000069833
Ahsa2	current symbol	MGI:1916133	ENSMUSG00000020288
Aifm2	current symbol	MGI:1918611	ENSMUSG00000020085
Aig1	current symbol	MGI:1913503	ENSMUSG00000019806
Aim2	current symbol	MGI:2686159	ENSMUSG00000037860
Aimp1	current symbol	MGI:102774	ENSMUSG00000028029
Aimp2	current symbol	MGI:2385237	ENSMUSG00000029610
Aip	current symbol	MGI:109622	ENSMUSG00000024847
Aip	synonym	MGI:1913327	ENSMUSG00000065990
Ak2	current symbol	MGI:87978	ENSMUSG00000028792
Ak4	current symbol	MGI:87979	ENSMUSG00000028527
Akap12	current symbol	MGI:1932576	ENSMUSG00000038587
Akap13	current symbol	MGI:2676556	ENSMUSG00000066406
Akap2	old symbol	MGI:5141924	ENSMUSG00000038729
Akap2	old symbol	MGI:5141924	ENSMUSG00000089945
Akap2	old symbol	MGI:5141924	ENSMUSG00000090053
Akap7	current symbol	MGI:1859150	ENSMUSG00000039166
Akap8	current symbol	MGI:1928488	ENSMUSG00000024045
Akap9	current symbol	MGI:2178217	ENSMUSG00000040407
Akirin1	current symbol	MGI:1915300	ENSMUSG00000023075
Akirin2	current symbol	MGI:1889364	ENSMUSG00000028291
Akr1b8	current symbol	MGI:107673	ENSMUSG00000029762
Akr1b8	rat symbol	MGI:1915111	ENSMUSG00000061758
Akr7a5	current symbol	MGI:107796	ENSMUSG00000028743
Akt1	current symbol	MGI:87986	ENSMUSG00000001729
Akt1s1	current symbol	MGI:1914855	ENSMUSG00000011096
Akt3	current symbol	MGI:1345147	ENSMUSG00000019699
Alas1	current symbol	MGI:87989	ENSMUSG00000032786
Alcam	current symbol	MGI:1313266	ENSMUSG00000022636
Aldh16a1	current symbol	MGI:1916998	ENSMUSG00000007833
Aldh18a1	current symbol	MGI:1888908	ENSMUSG00000025007
Aldh1b1	current symbol	MGI:1919785	ENSMUSG00000035561
Aldh2	rat synonym	MGI:1353450	ENSMUSG00000053279
Aldh2	current symbol	MGI:99600	ENSMUSG00000029455
Aldh3b1	current symbol	MGI:1914939	ENSMUSG00000024885
Aldh3b1	zebrafish symbol	MGI:2147613	ENSMUSG00000075296
Aldh3b1	zebrafish symbol	MGI:1920708	ENSMUSG00000037263
Aldh7a1	current symbol	MGI:108186	ENSMUSG00000053644
Aldh9a1	current symbol	MGI:1861622	ENSMUSG00000026687
Aldoa	current symbol	MGI:87994	ENSMUSG00000030695
Aldoart2	current symbol	MGI:1931052	ENSMUSG00000063129
Alg1	current symbol	MGI:2384774	ENSMUSG00000039427
Alg10b	current symbol	MGI:2146159	ENSMUSG00000075470
Alg14	current symbol	MGI:1914039	ENSMUSG00000039887
Alg3	current symbol	MGI:1098592	ENSMUSG00000033809
Alg6	current symbol	MGI:2444031	ENSMUSG00000073792
Alkbh1	current symbol	MGI:2384034	ENSMUSG00000079036
Alkbh2	current symbol	MGI:2141032	ENSMUSG00000044339
Alkbh3	current symbol	MGI:1916363	ENSMUSG00000040174
Alkbh6	current symbol	MGI:2142037	ENSMUSG00000042831
Alox12	current symbol	MGI:87998	ENSMUSG00000000320
Alox12	zebrafish symbol	MGI:1274790	ENSMUSG00000018907
Alox12	rat synonym	MGI:87997	ENSMUSG00000018924
Alpl	current symbol	MGI:87983	ENSMUSG00000028766
Als2	current symbol	MGI:1921268	ENSMUSG00000026024
Als2cl	current symbol	MGI:2447532	ENSMUSG00000044037
Amacr	current symbol	MGI:1098273	ENSMUSG00000022244
Ambp	current symbol	MGI:88002	ENSMUSG00000028356
Ambra1	current symbol	MGI:2443564	ENSMUSG00000040506
Amdhd2	current symbol	MGI:2443978	ENSMUSG00000036820
Amfr	current symbol	MGI:1345634	ENSMUSG00000031751
Amotl1	current symbol	MGI:1922973	ENSMUSG00000013076
Ampd2	current symbol	MGI:88016	ENSMUSG00000027889
Amph	current symbol	MGI:103574	ENSMUSG00000021314
Amt	current symbol	MGI:3646700	ENSMUSG00000032607
Amz1	current symbol	MGI:2442258	ENSMUSG00000050022
Amz2	current symbol	MGI:104837	ENSMUSG00000020610
Anapc1	current symbol	MGI:103097	ENSMUSG00000014355
Anapc16	current symbol	MGI:1289325	ENSMUSG00000020107
Anapc2	current symbol	MGI:2139135	ENSMUSG00000026965
Anapc5	current symbol	MGI:1929722	ENSMUSG00000029472
Anapc7	current symbol	MGI:1929711	ENSMUSG00000029466
Ankhd1	current symbol	MGI:1921733	ENSMUSG00000024483
Ankib1	current symbol	MGI:1918047	ENSMUSG00000040351
Ankra2	current symbol	MGI:1915808	ENSMUSG00000021661
Ankrd10	current symbol	MGI:1921840	ENSMUSG00000031508
Ankrd11	current symbol	MGI:1924337	ENSMUSG00000035569
Ankrd12	current symbol	MGI:1914357	ENSMUSG00000034647
Ankrd13a	current symbol	MGI:1915670	ENSMUSG00000041870
Ankrd17	current symbol	MGI:1932101	ENSMUSG00000055204
Ankrd24	current symbol	MGI:1890394	ENSMUSG00000054708
Ankrd26	current symbol	MGI:1917887	ENSMUSG00000007827
Ankrd27	current symbol	MGI:2444103	ENSMUSG00000034867
Ankrd28	current symbol	MGI:2145661	ENSMUSG00000014496
Ankrd32	old symbol	MGI:2145448	ENSMUSG00000021597
Ankrd33b	current symbol	MGI:1917904	ENSMUSG00000022237
Ankrd35	current symbol	MGI:2442590	ENSMUSG00000038354
Ankrd37	current symbol	MGI:3603344	ENSMUSG00000050914
Ankrd39	current symbol	MGI:1914816	ENSMUSG00000079610
Ankrd40	current symbol	MGI:1918702	ENSMUSG00000020864
Ankrd40	zebrafish symbol	MGI:5434049	ENSMUSG00000094091
Ankrd42	current symbol	MGI:1921095	ENSMUSG00000041343
Ankrd54	current symbol	MGI:2444209	ENSMUSG00000033055
Ankrd6	current symbol	MGI:2154278	ENSMUSG00000040183
Ankrd9	current symbol	MGI:1921501	ENSMUSG00000037904
Anks1	current symbol	MGI:2446180	ENSMUSG00000024219
Anks3	current symbol	MGI:1919865	ENSMUSG00000022515
Ankzf1	current symbol	MGI:1098746	ENSMUSG00000026199
Anln	current symbol	MGI:1920174	ENSMUSG00000036777
Ano1	current symbol	MGI:2142149	ENSMUSG00000031075
Ano6	current symbol	MGI:2145890	ENSMUSG00000064210
Anp32a	zebrafish symbol	MGI:3525200	ENSMUSG00000069913
Anp32a	current symbol	MGI:108447	ENSMUSG00000032249
