ATAC summit (left anchor),ATAC summit (right anchor)
chr1:74296398-74296399,chr1:74284945-74284946
chr1:74304362-74304363,chr1:74296398-74296399
chr1:74391850-74391851,chr1:74236295-74236296
chr1:74304362-74304363,chr1:74284945-74284946
chr1:74391850-74391851,chr1:74296398-74296399
chr1:74391850-74391851,chr1:74304362-74304363
chr1:74397378-74397379,chr1:74391850-74391851
chr1:74601207-74601208,chr1:74588216-74588217
chr1:74661439-74661440,chr1:74601207-74601208
chr1:75142488-75142489,chr1:75124780-75124781
chr1:75168069-75168070,chr1:75142488-75142489
chr1:75192159-75192160,chr1:75142488-75142489
chr1:75192159-75192160,chr1:75168069-75168070
chr1:75210657-75210658,chr1:75192159-75192160
chr1:75317604-75317605,chr1:75293227-75293228
chr1:75394038-75394039,chr1:75347261-75347262
chr1:75399054-75399055,chr1:75394038-75394039
chr1:79753911-79753912,chr1:79746445-79746446
chr1:79760807-79760808,chr1:79746445-79746446
chr1:79760807-79760808,chr1:79753911-79753912
chr1:80341113-80341114,chr1:79760807-79760808
chr1:82292084-82292085,chr1:81739331-81739332
chr1:82292084-82292085,chr1:81913486-81913487
chr1:82292084-82292085,chr1:81953847-81953848
chr1:84285214-84285215,chr1:83851355-83851356
chr1:84839576-84839577,chr1:84406106-84406107
chr1:86438669-86438670,chr1:86359451-86359452
chr1:86448152-86448153,chr1:86438669-86438670
chr1:86471659-86471660,chr1:86438669-86438670
chr1:86503331-86503332,chr1:86438669-86438670
chr1:86526620-86526621,chr1:86438669-86438670
chr1:86582616-86582617,chr1:86503331-86503332
chr1:87180956-87180957,chr1:86438669-86438670
chr1:87213777-87213778,chr1:86438669-86438670
chr1:86526620-86526621,chr1:86582616-86582617
chr1:87180956-87180957,chr1:86622581-86622582
chr1:87180956-87180957,chr1:87180956-87180957
chr1:87187069-87187070,chr1:86438669-86438670
chr1:88526237-88526238,chr1:88474799-88474800
chr1:88534267-88534268,chr1:88474799-88474800
chr1:89070016-89070017,chr1:88994961-88994962
chr1:89081173-89081174,chr1:89070016-89070017
chr1:89123266-89123267,chr1:89070016-89070017
chr1:89455849-89455850,chr1:89070016-89070017
chr1:90051251-90051252,chr1:89656259-89656260
chr1:90603503-90603504,chr1:90051251-90051252
chr1:90603503-90603504,chr1:90226024-90226025
chr1:90669131-90669132,chr1:90663223-90663224
chr1:90835367-90835368,chr1:90744348-90744349
chr1:90750565-90750566,chr1:90669131-90669132
chr1:91025139-91025140,chr1:90974459-90974460
chr1:91051883-91051884,chr1:90974459-90974460
chr1:91218200-91218201,chr1:91025139-91025140
chr1:91051883-91051884,chr1:91051883-91051884
chr1:91218200-91218201,chr1:90974459-90974460
chr1:91087473-91087474,chr1:91025139-91025140
chr1:91218200-91218201,chr1:91051883-91051884
chr1:91250115-91250116,chr1:91218200-91218201
chr1:91695068-91695069,chr1:91669751-91669752
chr1:91801455-91801456,chr1:91669751-91669752
chr1:91801455-91801456,chr1:91695068-91695069
chr1:91816723-91816724,chr1:91801455-91801456
chr1:91822106-91822107,chr1:91801455-91801456
chr1:91822106-91822107,chr1:91816723-91816724
chr1:93478804-93478805,chr1:93175304-93175305
chr1:93511903-93511904,chr1:93444783-93444784
chr1:93478804-93478805,chr1:93175304-93175305
chr1:93511903-93511904,chr1:93478804-93478805
chr1:105991993-105991994,chr1:105663103-105663104
chr1:105991993-105991994,chr1:105984096-105984097
chr1:106408024-106408025,chr1:106171443-106171444
chr1:106210964-106210965,chr1:106171443-106171444
chr1:106400716-106400717,chr1:105991993-105991994
chr1:106408024-106408025,chr1:106171443-106171444
chr1:106408024-106408025,chr1:106400716-106400717
chr1:106759833-106759834,chr1:106408024-106408025
chr1:106796868-106796869,chr1:106408024-106408025
chr1:106796868-106796869,chr1:106759833-106759834
chr1:118388596-118388597,chr1:118369502-118369503
chr1:120136415-120136416,chr1:120120771-120120772
chr1:120758426-120758427,chr1:120120771-120120772
chr1:121396318-121396319,chr1:120602411-120602412
chr1:121431053-121431054,chr1:120602411-120602412
chr1:120758426-120758427,chr1:120758426-120758427
chr1:121013685-121013686,chr1:120758426-120758427
chr1:121327360-121327361,chr1:120602411-120602412
chr1:121360804-121360805,chr1:120758426-120758427
chr1:121379952-121379953,chr1:120602411-120602412
chr1:121396318-121396319,chr1:120758426-120758427
chr1:121431053-121431054,chr1:120602411-120602412
chr1:121013685-121013686,chr1:120758426-120758427
chr1:121112039-121112040,chr1:120120771-120120772
chr1:121327360-121327361,chr1:120602411-120602412
chr1:121360804-121360805,chr1:120758426-120758427
chr1:121379952-121379953,chr1:121013685-121013686
chr1:121396318-121396319,chr1:121327360-121327361
chr1:121431053-121431054,chr1:121379952-121379953
chr1:121396318-121396319,chr1:120120771-120120772
chr1:121396318-121396319,chr1:120602411-120602412
chr1:121396318-121396319,chr1:120758426-120758427
chr1:125450860-125450861,chr1:125435746-125435747
chr1:125458703-125458704,chr1:125435746-125435747
chr1:125508404-125508405,chr1:125435746-125435747
chr1:125560950-125560951,chr1:125435746-125435747
chr1:127773863-127773864,chr1:127204805-127204806
chr1:128824649-128824650,chr1:128358856-128358857
chr1:128824649-128824650,chr1:128398881-128398882
chr1:128824649-128824650,chr1:128416664-128416665
chr1:128824649-128824650,chr1:128472348-128472349
chr1:131097248-131097249,chr1:131084448-131084449
chr1:131108113-131108114,chr1:131097248-131097249
chr1:131112716-131112717,chr1:131097248-131097249
chr1:131125210-131125211,chr1:131097248-131097249
chr1:131138357-131138358,chr1:131097248-131097249
chr1:131527865-131527866,chr1:131125210-131125211
chr1:131138357-131138358,chr1:131097248-131097249
chr1:132294549-132294550,chr1:132006994-132006995
chr1:132335700-132335701,chr1:132287643-132287644
chr1:132346533-132346534,chr1:132006994-132006995
chr1:132354792-132354793,chr1:132294549-132294550
chr1:132294549-132294550,chr1:132006994-132006995
chr1:132335700-132335701,chr1:132294549-132294550
chr1:132346533-132346534,chr1:132335700-132335701
chr1:132346533-132346534,chr1:132006994-132006995
chr1:132354792-132354793,chr1:132335700-132335701
chr1:132354792-132354793,chr1:132346533-132346534
chr1:134101643-134101644,chr1:134079280-134079281
chr1:134101643-134101644,chr1:133661200-133661201
chr1:134101643-134101644,chr1:133695854-133695855
chr1:134101643-134101644,chr1:133744852-133744853
chr1:134101643-134101644,chr1:133952009-133952010
chr1:134101643-134101644,chr1:133960814-133960815
chr1:134086820-134086821,chr1:134060997-134060998
chr1:134101643-134101644,chr1:134079280-134079281
chr1:134101643-134101644,chr1:134082947-134082948
chr1:134101643-134101644,chr1:134086820-134086821
chr1:134405937-134405938,chr1:134101643-134101644
chr1:134415570-134415571,chr1:134361917-134361918
chr1:134494703-134494704,chr1:134101643-134101644
chr1:134405937-134405938,chr1:134361917-134361918
chr1:134415570-134415571,chr1:134405937-134405938
chr1:134415570-134415571,chr1:134101643-134101644
chr1:134494703-134494704,chr1:134415570-134415571
chr1:134909634-134909635,chr1:134902362-134902363
chr1:135147664-135147665,chr1:135021101-135021102
chr1:135368185-135368186,chr1:135313746-135313747
chr1:135325202-135325203,chr1:135313746-135313747
chr1:135341617-135341618,chr1:135313746-135313747
chr1:135348259-135348260,chr1:135313746-135313747
chr1:135359278-135359279,chr1:135147664-135147665
chr1:135368185-135368186,chr1:135313746-135313747
chr1:135765982-135765983,chr1:135341617-135341618
chr1:135368185-135368186,chr1:135359278-135359279
chr1:135368185-135368186,chr1:135368185-135368186
chr1:135375152-135375153,chr1:135368185-135368186
chr1:135727603-135727604,chr1:135727603-135727604
chr1:135765982-135765983,chr1:135727603-135727604
chr1:135765982-135765983,chr1:135727603-135727604
chr1:135733179-135733180,chr1:135727603-135727604
chr1:135744031-135744032,chr1:135313746-135313747
chr1:135755392-135755393,chr1:135368185-135368186
chr1:135759519-135759520,chr1:135411289-135411290
chr1:135765982-135765983,chr1:135727603-135727604
chr1:135771220-135771221,chr1:135733179-135733180
chr1:135765982-135765983,chr1:135744031-135744032
chr1:135765982-135765983,chr1:135755392-135755393
chr1:135765982-135765983,chr1:135759519-135759520
chr1:135771220-135771221,chr1:135727603-135727604
chr1:135765982-135765983,chr1:135755392-135755393
chr1:135771220-135771221,chr1:135759519-135759520
chr1:135771220-135771221,chr1:135765982-135765983
chr1:136129460-136129461,chr1:135765982-135765983
chr1:136136539-136136540,chr1:136129460-136129461
chr1:136140247-136140248,chr1:136129460-136129461
chr1:136696544-136696545,chr1:136684004-136684005
chr1:138617887-138617888,chr1:138329565-138329566
chr1:138617887-138617888,chr1:138343419-138343420
chr1:138623344-138623345,chr1:138617887-138617888
chr1:150251353-150251354,chr1:149834989-149834990
chr1:150260222-150260223,chr1:149834989-149834990
chr1:149846750-149846751,chr1:149834989-149834990
chr1:149857046-149857047,chr1:149857046-149857047
chr1:149862859-149862860,chr1:149834989-149834990
chr1:149898464-149898465,chr1:149857046-149857047
chr1:149902255-149902256,chr1:149834989-149834990
chr1:150043329-150043330,chr1:149857046-149857047
chr1:150100122-150100123,chr1:149834989-149834990
chr1:150130484-150130485,chr1:149902255-149902256
chr1:150218656-150218657,chr1:149834989-149834990
chr1:150251353-150251354,chr1:149857046-149857047
chr1:150260222-150260223,chr1:149867475-149867476
chr1:150393193-150393194,chr1:149891372-149891373
chr1:150251353-150251354,chr1:149898464-149898465
chr1:150260222-150260223,chr1:149902255-149902256
chr1:149862859-149862860,chr1:150043329-150043330
chr1:149898464-149898465,chr1:149834989-149834990
chr1:149902255-149902256,chr1:149834989-149834990
chr1:150100122-150100123,chr1:149862859-149862860
chr1:150251353-150251354,chr1:149814154-149814155
chr1:150260222-150260223,chr1:149834989-149834990
chr1:150218656-150218657,chr1:149846750-149846751
chr1:150251353-150251354,chr1:149857046-149857047
chr1:150260222-150260223,chr1:149862859-149862860
chr1:150100122-150100123,chr1:149867475-149867476
chr1:150251353-150251354,chr1:149891372-149891373
chr1:150260222-150260223,chr1:149898464-149898465
chr1:150100122-150100123,chr1:149902255-149902256
chr1:150251353-150251354,chr1:149814154-149814155
chr1:150260222-150260223,chr1:149834989-149834990
chr1:150100122-150100123,chr1:149846750-149846751
chr1:150251353-150251354,chr1:149857046-149857047
chr1:150260222-150260223,chr1:149862859-149862860
chr1:150043329-150043330,chr1:149867475-149867476
chr1:150100122-150100123,chr1:149891372-149891373
chr1:150251353-150251354,chr1:149898464-149898465
chr1:150260222-150260223,chr1:149902255-149902256
chr1:150100122-150100123,chr1:149834989-149834990
chr1:151677996-151677997,chr1:151663235-151663236
chr1:151684316-151684317,chr1:151677996-151677997
chr1:153130357-153130358,chr1:153120711-153120712
chr1:153130357-153130358,chr1:152767397-152767398
chr1:153332893-153332894,chr1:152903899-152903900
chr1:153332893-153332894,chr1:153049283-153049284
chr1:153130357-153130358,chr1:153120711-153120712
chr1:153332893-153332894,chr1:152903899-152903900
chr1:153126772-153126773,chr1:152921808-152921809
chr1:153130357-153130358,chr1:153049283-153049284
chr1:153332893-153332894,chr1:153120711-153120712
chr1:153332893-153332894,chr1:153126772-153126773
chr1:153332893-153332894,chr1:153130357-153130358
chr1:153332893-153332894,chr1:153265985-153265986
chr1:153332893-153332894,chr1:153292933-153292934
chr1:153736418-153736419,chr1:153565888-153565889
chr1:155051619-155051620,chr1:155040486-155040487
chr1:155092646-155092647,chr1:155051619-155051620
chr1:155099562-155099563,chr1:155051619-155051620
chr1:155213840-155213841,chr1:155051619-155051620
chr1:155076046-155076047,chr1:155040486-155040487
chr1:155083612-155083613,chr1:155051619-155051620
chr1:155087266-155087267,chr1:155083612-155083613
chr1:155092646-155092647,chr1:155087266-155087267
chr1:155099562-155099563,chr1:155040486-155040487
chr1:155109321-155109322,chr1:155051619-155051620
chr1:155139114-155139115,chr1:155056201-155056202
chr1:155158691-155158692,chr1:155083612-155083613
chr1:155213840-155213841,chr1:155087266-155087267
chr1:155224370-155224371,chr1:155092646-155092647
chr1:155099562-155099563,chr1:155051619-155051620
chr1:155213840-155213841,chr1:155099562-155099563
chr1:155092646-155092647,chr1:155051619-155051620
chr1:155099562-155099563,chr1:155099562-155099563
chr1:155213840-155213841,chr1:155051619-155051620
chr1:155092646-155092647,chr1:155099562-155099563
chr1:155099562-155099563,chr1:155040486-155040487
chr1:155213840-155213841,chr1:155051619-155051620
chr1:155099562-155099563,chr1:155056201-155056202
chr1:155213840-155213841,chr1:155083612-155083613
chr1:155109321-155109322,chr1:155087266-155087267
chr1:155139114-155139115,chr1:155092646-155092647
chr1:155158691-155158692,chr1:155099562-155099563
chr1:155213840-155213841,chr1:155109321-155109322
chr1:155213840-155213841,chr1:155139114-155139115
chr1:155213840-155213841,chr1:155158691-155158692
chr1:155213840-155213841,chr1:155051619-155051620
chr1:160176983-160176984,chr1:160100940-160100941
chr1:160212806-160212807,chr1:160195438-160195439
chr1:161735304-161735305,chr1:161251169-161251170
chr1:162018594-162018595,chr1:161969340-161969341
chr1:162217331-162217332,chr1:161980126-161980127
chr1:162313702-162313703,chr1:162004078-162004079
chr1:162570696-162570697,chr1:162018594-162018595
chr1:162018594-162018595,chr1:162004078-162004079
chr1:162018594-162018595,chr1:162018594-162018595
chr1:162076002-162076003,chr1:162037922-162037923
chr1:162094701-162094702,chr1:162004078-162004079
chr1:162133725-162133726,chr1:162018594-162018595
chr1:162183985-162183986,chr1:162076002-162076003
chr1:162217331-162217332,chr1:162004078-162004079
chr1:162225283-162225284,chr1:162018594-162018595
chr1:162313702-162313703,chr1:162076002-162076003
chr1:162037922-162037923,chr1:162094701-162094702
chr1:162076002-162076003,chr1:162004078-162004079
chr1:162094701-162094702,chr1:162018594-162018595
chr1:162133725-162133726,chr1:162076002-162076003
chr1:162183985-162183986,chr1:162094701-162094702
chr1:162188042-162188043,chr1:162133725-162133726
chr1:162217331-162217332,chr1:162018594-162018595
chr1:162225283-162225284,chr1:162076002-162076003
chr1:162243652-162243653,chr1:161969340-161969341
chr1:162300030-162300031,chr1:162004078-162004079
chr1:162313702-162313703,chr1:162018594-162018595
chr1:162076002-162076003,chr1:162037922-162037923
chr1:162217331-162217332,chr1:162076002-162076003
chr1:162094701-162094702,chr1:162094701-162094702
chr1:162133725-162133726,chr1:162133725-162133726
chr1:162183985-162183986,chr1:162183985-162183986
chr1:162188042-162188043,chr1:162188042-162188043
chr1:162217331-162217332,chr1:162004078-162004079
chr1:162225283-162225284,chr1:162018594-162018595
chr1:162243652-162243653,chr1:162076002-162076003
chr1:162313702-162313703,chr1:162094701-162094702
chr1:162133725-162133726,chr1:162133725-162133726
chr1:162183985-162183986,chr1:162183985-162183986
chr1:162217331-162217332,chr1:162217331-162217332
chr1:162225283-162225284,chr1:162018594-162018595
chr1:162183985-162183986,chr1:162076002-162076003
chr1:162217331-162217332,chr1:162217331-162217332
chr1:162225283-162225284,chr1:162225283-162225284
chr1:162217331-162217332,chr1:162018594-162018595
chr1:162225283-162225284,chr1:161969340-161969341
chr1:162217331-162217332,chr1:162004078-162004079
chr1:162225283-162225284,chr1:162018594-162018595
chr1:162243652-162243653,chr1:162076002-162076003
chr1:162313702-162313703,chr1:162217331-162217332
chr1:162243652-162243653,chr1:162225283-162225284
chr1:162313702-162313703,chr1:161969340-161969341
chr1:163383118-163383119,chr1:163362386-163362387
chr1:164993383-164993384,chr1:164307494-164307495
chr1:165642199-165642200,chr1:165461493-165461494
chr1:165642199-165642200,chr1:165634562-165634563
chr1:166046645-166046646,chr1:165642199-165642200
chr1:166378990-166378991,chr1:165642199-165642200
chr1:166378990-166378991,chr1:166046645-166046646
chr1:167270142-167270143,chr1:167246973-167246974
chr1:167270142-167270143,chr1:167251853-167251854
chr1:167270142-167270143,chr1:167259778-167259779
chr1:167279352-167279353,chr1:167270142-167270143
chr1:167284818-167284819,chr1:167270142-167270143
chr1:167308224-167308225,chr1:167279352-167279353
chr1:167284818-167284819,chr1:167270142-167270143
chr1:169166548-169166549,chr1:168432445-168432446
chr1:170110889-170110890,chr1:169968982-169968983
chr1:170110889-170110890,chr1:170058026-170058027
chr1:170058026-170058027,chr1:169531620-169531621
chr1:170110889-170110890,chr1:169699490-169699491
chr1:170175314-170175315,chr1:169968982-169968983
chr1:170063942-170063943,chr1:170058026-170058027
chr1:170110889-170110890,chr1:170063942-170063943
chr1:170175314-170175315,chr1:170110889-170110890
chr1:170110889-170110890,chr1:169968982-169968983
chr1:170136147-170136148,chr1:170058026-170058027
chr1:170175314-170175315,chr1:170110889-170110890
chr1:170188762-170188763,chr1:170175314-170175315
chr1:170853795-170853796,chr1:170175314-170175315
chr1:170867964-170867965,chr1:170175314-170175315
chr1:170867964-170867965,chr1:170853795-170853796
chr1:170885463-170885464,chr1:170867964-170867965
chr1:171113382-171113383,chr1:171102806-171102807
chr1:171222593-171222594,chr1:171113382-171113383
chr1:171249135-171249136,chr1:171113382-171113383
chr1:171262948-171262949,chr1:171113382-171113383
chr1:171345521-171345522,chr1:171249135-171249136
chr1:171262948-171262949,chr1:171249135-171249136
chr1:171270193-171270194,chr1:171262948-171262949
chr1:171287965-171287966,chr1:171249135-171249136
chr1:171270193-171270194,chr1:171262948-171262949
chr1:171287965-171287966,chr1:171113382-171113383
chr1:171410785-171410786,chr1:171360911-171360912
chr1:172133368-172133369,chr1:172126306-172126307
chr1:172148081-172148082,chr1:172126306-172126307
chr1:172311615-172311616,chr1:172133368-172133369
chr1:172148081-172148082,chr1:172126306-172126307
chr1:172311615-172311616,chr1:172148081-172148082
chr1:172311615-172311616,chr1:172205437-172205438
chr1:172501797-172501798,chr1:172423434-172423435
chr1:172507466-172507467,chr1:172501797-172501798
chr1:174649257-174649258,chr1:174642603-174642604
chr1:174654946-174654947,chr1:174642603-174642604
chr1:174882792-174882793,chr1:174642603-174642604
chr1:174920663-174920664,chr1:174642603-174642604
chr1:174972020-174972021,chr1:174649257-174649258
chr1:175028990-175028991,chr1:174654946-174654947
chr1:175033074-175033075,chr1:174642603-174642604
chr1:174920663-174920664,chr1:174642603-174642604
chr1:174920663-174920664,chr1:174642603-174642604
chr1:176827687-176827688,chr1:176816623-176816624
chr1:176832829-176832830,chr1:176816623-176816624
chr1:176832829-176832830,chr1:176827687-176827688
chr1:177796490-177796491,chr1:177710417-177710418
chr1:178336534-178336535,chr1:178319366-178319367
chr1:178368807-178368808,chr1:178336534-178336535
chr1:178401048-178401049,chr1:178336534-178336535
chr1:178405767-178405768,chr1:178336534-178336535
chr1:178405767-178405768,chr1:178368807-178368808
chr1:179061254-179061255,chr1:179042089-179042090
chr1:179047316-179047317,chr1:178530631-178530632
chr1:179061254-179061255,chr1:179042089-179042090
chr1:179061254-179061255,chr1:179047316-179047317
chr1:179477528-179477529,chr1:179061254-179061255
chr1:179076430-179076431,chr1:179047316-179047317
chr1:179477528-179477529,chr1:179061254-179061255
chr1:179572258-179572259,chr1:179546397-179546398
chr1:179847999-179848000,chr1:179803745-179803746
chr1:180849644-180849645,chr1:180777957-180777958
chr1:180914261-180914262,chr1:180904339-180904340
chr1:180942491-180942492,chr1:180904339-180904340
chr1:181016338-181016339,chr1:180904339-180904340
chr1:182341000-182341001,chr1:182021796-182021797
chr1:182027495-182027496,chr1:182027495-182027496
chr1:182091316-182091317,chr1:182021796-182021797
chr1:182059204-182059205,chr1:181842524-181842525
chr1:182514583-182514584,chr1:182341000-182341001
chr1:182520260-182520261,chr1:182341000-182341001
chr1:182514583-182514584,chr1:182489680-182489681
chr1:182514583-182514584,chr1:182027495-182027496
chr1:182520260-182520261,chr1:182059204-182059205
chr1:182514583-182514584,chr1:182091316-182091317
chr1:182520260-182520261,chr1:182125013-182125014
chr1:182363335-182363336,chr1:182341000-182341001
chr1:182368482-182368483,chr1:182368482-182368483
chr1:182514583-182514584,chr1:182489680-182489681
chr1:182520260-182520261,chr1:182505711-182505712
chr1:182514583-182514584,chr1:182027495-182027496
chr1:182505711-182505712,chr1:182091316-182091317
chr1:182514583-182514584,chr1:182125013-182125014
chr1:182520260-182520261,chr1:182341000-182341001
chr1:182514583-182514584,chr1:182489680-182489681
chr1:182520260-182520261,chr1:182505711-182505712
chr1:182520260-182520261,chr1:182514583-182514584
chr1:182527832-182527833,chr1:182514583-182514584
chr1:183146405-183146406,chr1:182520260-182520261
chr1:183298139-183298140,chr1:182514583-182514584
chr1:182527832-182527833,chr1:182520260-182520261
chr1:183146405-183146406,chr1:182514583-182514584
chr1:183298139-183298140,chr1:182520260-182520261
chr1:184034177-184034178,chr1:183905545-183905546
chr1:184034177-184034178,chr1:183917315-183917316
chr1:184083962-184083963,chr1:183940880-183940881
chr1:184034177-184034178,chr1:183945100-183945101
chr1:184083962-184083963,chr1:183917315-183917316
chr1:184034177-184034178,chr1:183940880-183940881
chr1:184083962-184083963,chr1:184034177-184034178
chr1:184733114-184733115,chr1:184076937-184076938
chr1:184782626-184782627,chr1:184083962-184083963
chr1:184733114-184733115,chr1:184083962-184083963
chr1:184083962-184083963,chr1:184034177-184034178
chr1:184733114-184733115,chr1:184052243-184052244
chr1:184140945-184140946,chr1:184076937-184076938
chr1:184707879-184707880,chr1:184083962-184083963
chr1:184733114-184733115,chr1:184271627-184271628
chr1:184733114-184733115,chr1:184456116-184456117
chr1:184733114-184733115,chr1:184531882-184531883
chr1:184733114-184733115,chr1:184662832-184662833
chr1:184733114-184733115,chr1:184695542-184695543
chr1:184733114-184733115,chr1:184707879-184707880
