Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
Dyrk3	current symbol	MGI:1330300	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	protein coding gene	ENSMUSG00000016526
Cyb5r1	current symbol	MGI:1919267	Cyb5r1	cytochrome b5 reductase 1	protein coding gene	ENSMUSG00000026456
Adipor1	current symbol	MGI:1919924	Adipor1	adiponectin receptor 1	protein coding gene	ENSMUSG00000026457
Rabif	current symbol	MGI:2138605	Rabif	RAB interacting factor	protein coding gene	ENSMUSG00000042229
Shisa4	current symbol	MGI:1924802	Shisa4	shisa family member 4	protein coding gene	ENSMUSG00000041889
Lamc1	current symbol	MGI:99914	Lamc1	laminin, gamma 1	protein coding gene	ENSMUSG00000026478
Cacybp	current symbol	MGI:1270839	Cacybp	calcyclin binding protein	protein coding gene	ENSMUSG00000014226
Vamp4	current symbol	MGI:1858730	Vamp4	vesicle-associated membrane protein 4	protein coding gene	ENSMUSG00000026696
Atf6	current symbol	MGI:1926157	Atf6	activating transcription factor 6	protein coding gene	ENSMUSG00000026663
Efcab2	current symbol	MGI:1915476	Efcab2	EF-hand calcium binding domain 2	protein coding gene	ENSMUSG00000026495
Tmem63a	current symbol	MGI:2384789	Tmem63a	transmembrane protein 63a	protein coding gene	ENSMUSG00000026519
Dusp10	current symbol	MGI:1927070	Dusp10	dual specificity phosphatase 10	protein coding gene	ENSMUSG00000039384
Smyd2	current symbol	MGI:1915889	Smyd2	SET and MYND domain containing 2	protein coding gene	ENSMUSG00000026603
Plxna2	current symbol	MGI:107684	Plxna2	plexin A2	protein coding gene	ENSMUSG00000026640
Utrn	current symbol	MGI:104631	Utrn	utrophin	protein coding gene	ENSMUSG00000019820
Cited2	current symbol	MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	protein coding gene	ENSMUSG00000039910
Tmem200a	current symbol	MGI:1924470	Tmem200a	transmembrane protein 200A	protein coding gene	ENSMUSG00000049420
Amd1	current symbol	MGI:88004	Amd1	S-adenosylmethionine decarboxylase 1	protein coding gene	ENSMUSG00000075232
Amd1	human symbol	MGI:1333111	Amd2	S-adenosylmethionine decarboxylase 2	protein coding gene	ENSMUSG00000063953
Amd1	synonym	MGI:3588383	Artmd1	arthropathy in MRL and DBA/1 mice 1	QTL	
Amd1	human synonym	MGI:97372	Npr2	natriuretic peptide receptor 2	protein coding gene	ENSMUSG00000028469
Mcu	current symbol	MGI:3026965	Mcu	mitochondrial calcium uniporter	protein coding gene	ENSMUSG00000009647
Unc5b	current symbol	MGI:894703	Unc5b	unc-5 netrin receptor B	protein coding gene	ENSMUSG00000020099
Smarcb1	current symbol	MGI:1328366	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	protein coding gene	ENSMUSG00000000902
Atp5d	old symbol	MGI:1913293	Atp5f1d	ATP synthase F1 subunit delta	protein coding gene	ENSMUSG00000003072
Ndufs7	current symbol	MGI:1922656	Ndufs7	NADH:ubiquinone oxidoreductase core subunit S7	protein coding gene	ENSMUSG00000020153
Oaz1	current symbol	MGI:109433	Oaz1	ornithine decarboxylase antizyme 1	protein coding gene	ENSMUSG00000035242
Gadd45b	current symbol	MGI:107776	Gadd45b	growth arrest and DNA-damage-inducible 45 beta	protein coding gene	ENSMUSG00000015312
Dohh	current symbol	MGI:1915964	Dohh	deoxyhypusine hydroxylase/monooxygenase	protein coding gene	ENSMUSG00000078440
Chst11	current symbol	MGI:1927166	Chst11	carbohydrate sulfotransferase 11	protein coding gene	ENSMUSG00000034612
Polr3b	current symbol	MGI:1917678	Polr3b	polymerase (RNA) III (DNA directed) polypeptide B	protein coding gene	ENSMUSG00000034453
Cdk17	current symbol	MGI:97517	Cdk17	cyclin dependent kinase 17	protein coding gene	ENSMUSG00000020015
Lta4h	current symbol	MGI:96836	Lta4h	leukotriene A4 hydrolase	protein coding gene	ENSMUSG00000015889
Btg1	current symbol	MGI:88215	Btg1	BTG anti-proliferation factor 1	protein coding gene	ENSMUSG00000036478
Btg1	zebrafish symbol	MGI:3588262	Btg1b	BTG anti-proliferation factor 1B	protein coding gene	ENSMUSG00000068173
Btg1	zebrafish symbol	MGI:3588265	Btg1c	BTG anti-proliferation factor 1C	protein coding gene	ENSMUSG00000098348
Atp2b1	current symbol	MGI:104653	Atp2b1	ATPase, Ca++ transporting, plasma membrane 1	protein coding gene	ENSMUSG00000019943
Msrb3	current symbol	MGI:2443538	Msrb3	methionine sulfoxide reductase B3	protein coding gene	ENSMUSG00000051236
Lrig3	current symbol	MGI:2443955	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3	protein coding gene	ENSMUSG00000020105
Mettl1	current symbol	MGI:1339986	Mettl1	methyltransferase 1, tRNA methylguanosine	protein coding gene	ENSMUSG00000006732
Mars	old symbol	MGI:1345633	Mars1	methionine-tRNA synthetase 1	protein coding gene	ENSMUSG00000040354
Mars	human synonym	MGI:1925049	Sla2	Src-like-adaptor 2	protein coding gene	ENSMUSG00000027636
Stat6	current symbol	MGI:103034	Stat6	signal transducer and activator of transcription 6	protein coding gene	ENSMUSG00000002147
Rbms2	current symbol	MGI:1861776	Rbms2	RNA binding motif, single stranded interacting protein 2	protein coding gene	ENSMUSG00000040043
Ormdl2	current symbol	MGI:1914094	Ormdl2	ORM1-like 2 (S. cerevisiae)	protein coding gene	ENSMUSG00000025353
Ascc2	current symbol	MGI:1922702	Ascc2	activating signal cointegrator 1 complex subunit 2	protein coding gene	ENSMUSG00000020412
Egfr	current symbol	MGI:95294	Egfr	epidermal growth factor receptor	protein coding gene	ENSMUSG00000020122
Meis1	current symbol	MGI:104717	Meis1	Meis homeobox 1	protein coding gene	ENSMUSG00000020160
Ubtd2	current symbol	MGI:2444752	Ubtd2	ubiquitin domain containing 2	protein coding gene	ENSMUSG00000044949
Pank3	current symbol	MGI:2387464	Pank3	pantothenate kinase 3	protein coding gene	ENSMUSG00000018846
Adam19	current symbol	MGI:105377	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)	protein coding gene	ENSMUSG00000011256
Irgm1	human synonym	MGI:107729	Igtp	interferon gamma induced GTPase	protein coding gene	ENSMUSG00000078853
Irgm1	current symbol	MGI:107567	Irgm1	immunity-related GTPase family M member 1	protein coding gene	ENSMUSG00000046879
Irgm1	human synonym	MGI:1926262	Irgm2	immunity-related GTPase family M member 2	protein coding gene	ENSMUSG00000069874
Phykpl	current symbol	MGI:1920197	Phykpl	5-phosphohydroxy-L-lysine phospholyase	protein coding gene	ENSMUSG00000020359
Rmnd5b	current symbol	MGI:1913339	Rmnd5b	required for meiotic nuclear division 5 homolog B	protein coding gene	ENSMUSG00000001054
Sparc	current symbol	MGI:98373	Sparc	secreted acidic cysteine rich glycoprotein	protein coding gene	ENSMUSG00000018593
Nt5m	current symbol	MGI:1917127	Nt5m	5',3'-nucleotidase, mitochondrial	protein coding gene	ENSMUSG00000032615
Map2k3	current symbol	MGI:1346868	Map2k3	mitogen-activated protein kinase kinase 3	protein coding gene	ENSMUSG00000018932
Trim16	current symbol	MGI:2137356	Trim16	tripartite motif-containing 16	protein coding gene	ENSMUSG00000047821
Hs3st3a1	current symbol	MGI:1333861	Hs3st3a1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	protein coding gene	ENSMUSG00000047759
Aurkb	current symbol	MGI:107168	Aurkb	aurora kinase B	protein coding gene	ENSMUSG00000020897
Aurkb	zebrafish symbol	MGI:1321119	Aurkc	aurora kinase C	protein coding gene	ENSMUSG00000070837
Eif5a	current symbol	MGI:106248	Eif5a	eukaryotic translation initiation factor 5A	protein coding gene	ENSMUSG00000078812
Eif5a	zebrafish symbol	MGI:1933735	Eif5a2	eukaryotic translation initiation factor 5A2	protein coding gene	ENSMUSG00000050192
Plscr3	current symbol	MGI:1917560	Plscr3	phospholipid scramblase 3	protein coding gene	ENSMUSG00000019461
Senp3	current symbol	MGI:2158736	Senp3	SUMO/sentrin specific peptidase 3	protein coding gene	ENSMUSG00000005204
Crk	current symbol	MGI:88508	Crk	v-crk avian sarcoma virus CT10 oncogene homolog	protein coding gene	ENSMUSG00000017776
Fam222b	current symbol	MGI:2384939	Fam222b	family with sequence similarity 222, member B	protein coding gene	ENSMUSG00000037750
Tnfaip1	current symbol	MGI:104961	Tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	protein coding gene	ENSMUSG00000017615
Myo19	current symbol	MGI:1913446	Myo19	myosin XIX	protein coding gene	ENSMUSG00000020527
Dhx40	current symbol	MGI:1914737	Dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	protein coding gene	ENSMUSG00000018425
Samd14	current symbol	MGI:2384945	Samd14	sterile alpha motif domain containing 14	protein coding gene	ENSMUSG00000047181
Sp2	current symbol	MGI:1926162	Sp2	Sp2 transcription factor	protein coding gene	ENSMUSG00000018678
Sp2	synonym	MGI:98885	Zrsr2-ps1	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2, pseudogene 1	protein coding gene	ENSMUSG00000044068
Mrpl10	current symbol	MGI:1333801	Mrpl10	mitochondrial ribosomal protein L10	protein coding gene	ENSMUSG00000001445
Top2a	current symbol	MGI:98790	Top2a	topoisomerase (DNA) II alpha	protein coding gene	ENSMUSG00000020914
Eif1	current symbol	MGI:105125	Eif1	eukaryotic translation initiation factor 1	protein coding gene	ENSMUSG00000035530
Ifi35	current symbol	MGI:1917360	Ifi35	interferon-induced protein 35	protein coding gene	ENSMUSG00000010358
Fzd2	current symbol	MGI:1888513	Fzd2	frizzled class receptor 2	protein coding gene	ENSMUSG00000050288
Mrc2	current symbol	MGI:107818	Mrc2	mannose receptor, C type 2	protein coding gene	ENSMUSG00000020695
Prkar1a	current symbol	MGI:104878	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	protein coding gene	ENSMUSG00000020612
Cog1	current symbol	MGI:1333873	Cog1	component of oligomeric golgi complex 1	protein coding gene	ENSMUSG00000018661
Fam104a	current symbol	MGI:106351	Fam104a	family with sequence similarity 104, member A	protein coding gene	ENSMUSG00000041629
Cdc42ep4	current symbol	MGI:1929760	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	protein coding gene	ENSMUSG00000041598
Wbp2	current symbol	MGI:104709	Wbp2	WW domain binding protein 2	protein coding gene	ENSMUSG00000034341
Trim65	current symbol	MGI:2442815	Trim65	tripartite motif-containing 65	protein coding gene	ENSMUSG00000054517
Srp68	current symbol	MGI:1917447	Srp68	signal recognition particle 68	protein coding gene	ENSMUSG00000020780
Sec14l1	current symbol	MGI:1921386	Sec14l1	SEC14-like lipid binding 1	protein coding gene	ENSMUSG00000020823
Tnrc6c	current symbol	MGI:2443265	Tnrc6c	trinucleotide repeat containing 6C	protein coding gene	ENSMUSG00000025571
Timp2	current symbol	MGI:98753	Timp2	tissue inhibitor of metalloproteinase 2	protein coding gene	ENSMUSG00000017466
Baiap2	current symbol	MGI:2137336	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	protein coding gene	ENSMUSG00000025372
P4hb	current symbol	MGI:97464	P4hb	prolyl 4-hydroxylase, beta polypeptide	protein coding gene	ENSMUSG00000025130
Trib2	current symbol	MGI:2145021	Trib2	tribbles pseudokinase 2	protein coding gene	ENSMUSG00000020601
Rock2	current symbol	MGI:107926	Rock2	Rho-associated coiled-coil containing protein kinase 2	protein coding gene	ENSMUSG00000020580
Pqlc3	old symbol	MGI:2444067	Slc66a3	solute carrier family 66 member 3	protein coding gene	ENSMUSG00000045679
Arhgap5	current symbol	MGI:1332637	Arhgap5	Rho GTPase activating protein 5	protein coding gene	ENSMUSG00000035133
Nfkbia	current symbol	MGI:104741	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein coding gene	ENSMUSG00000021025
Klhdc2	current symbol	MGI:1916804	Klhdc2	kelch domain containing 2	protein coding gene	ENSMUSG00000020978
Frmd6	current symbol	MGI:2442579	Frmd6	FERM domain containing 6	protein coding gene	ENSMUSG00000048285
Plekhg3	current symbol	MGI:2388284	Plekhg3	pleckstrin homology domain containing, family G (with RhoGef domain) member 3	protein coding gene	ENSMUSG00000052609
Churc1	current symbol	MGI:1923684	Churc1	churchill domain containing 1	protein coding gene	ENSMUSG00000090258
Actn1	current symbol	MGI:2137706	Actn1	actinin, alpha 1	protein coding gene	ENSMUSG00000015143
Irf2bpl	current symbol	MGI:2442463	Irf2bpl	interferon regulatory factor 2 binding protein-like	protein coding gene	ENSMUSG00000034168
Sptlc2	current symbol	MGI:108074	Sptlc2	serine palmitoyltransferase, long chain base subunit 2	protein coding gene	ENSMUSG00000021036
Flrt2	current symbol	MGI:3603594	Flrt2	fibronectin leucine rich transmembrane protein 2	protein coding gene	ENSMUSG00000047414
Lgmn	current symbol	MGI:1330838	Lgmn	legumain	protein coding gene	ENSMUSG00000021190
Eml1	current symbol	MGI:1915769	Eml1	echinoderm microtubule associated protein like 1	protein coding gene	ENSMUSG00000058070
Eml1	rat synonym	MGI:1919455	Eml2	echinoderm microtubule associated protein like 2	protein coding gene	ENSMUSG00000040811
Eif5	current symbol	MGI:95309	Eif5	eukaryotic translation initiation factor 5	protein coding gene	ENSMUSG00000021282
Tnfaip2	current symbol	MGI:104960	Tnfaip2	tumor necrosis factor, alpha-induced protein 2	protein coding gene	ENSMUSG00000021281
Inf2	current symbol	MGI:1917685	Inf2	inverted formin, FH2 and WH2 domain containing	protein coding gene	ENSMUSG00000037679
Inf2	synonym	MGI:2671673	inft2	infertility 2	heritable phenotypic marker	
Crip2	current symbol	MGI:1915587	Crip2	cysteine rich protein 2	protein coding gene	ENSMUSG00000006356
Fam208b	old symbol	MGI:2145274	Tasor2	transcription activation suppressor family member 2	protein coding gene	ENSMUSG00000033799
Hist1h3i	human synonym	MGI:2668828	H3c1	H3 clustered histone 1	protein coding gene	ENSMUSG00000069265
Hist1h3i	human synonym	MGI:2448326	H3c6	H3 clustered histone 6	protein coding gene	ENSMUSG00000069273
Hist1h3i	human synonym	MGI:2145541	H3c8	H3 clustered histone 8	protein coding gene	ENSMUSG00000099517
Hist1h3i	human synonym	MGI:2448349	H3c10	H3 clustered histone 10	protein coding gene	ENSMUSG00000101355
Hist1h3i	old symbol	MGI:2448350	H3c11	H3 clustered histone 11	protein coding gene	ENSMUSG00000101972
Tubb2b	rat synonym	MGI:107861	Tubb2a	tubulin, beta 2A class IIA	protein coding gene	ENSMUSG00000058672
Tubb2b	current symbol	MGI:1920960	Tubb2b	tubulin, beta 2B class IIB	protein coding gene	ENSMUSG00000045136
Tubb2b	zebrafish symbol	MGI:1915472	Tubb4b	tubulin, beta 4B class IVB	protein coding gene	ENSMUSG00000036752
Pxdc1	current symbol	MGI:1914145	Pxdc1	PX domain containing 1	protein coding gene	ENSMUSG00000021411
Pak1ip1	current symbol	MGI:1915333	Pak1ip1	PAK1 interacting protein 1	protein coding gene	ENSMUSG00000038683
Mylip	current symbol	MGI:2388271	Mylip	myosin regulatory light chain interacting protein	protein coding gene	ENSMUSG00000038175
Ogn	current symbol	MGI:109278	Ogn	osteoglycin	protein coding gene	ENSMUSG00000021390
Nfil3	current symbol	MGI:109495	Nfil3	nuclear factor, interleukin 3, regulated	protein coding gene	ENSMUSG00000056749
Irx2	current symbol	MGI:1197526	Irx2	Iroquois homeobox 2	protein coding gene	ENSMUSG00000001504
Tmem167	current symbol	MGI:1913324	Tmem167	transmembrane protein 167	protein coding gene	ENSMUSG00000012422
Ap3b1	current symbol	MGI:1333879	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	protein coding gene	ENSMUSG00000021686
F2r	current symbol	MGI:101802	F2r	coagulation factor II (thrombin) receptor	protein coding gene	ENSMUSG00000048376
Hmgcr	current symbol	MGI:96159	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	protein coding gene	ENSMUSG00000021670
Cwc27	current symbol	MGI:1914535	Cwc27	CWC27 spliceosome-associated protein	protein coding gene	ENSMUSG00000021715
Kif2a	current symbol	MGI:108390	Kif2a	kinesin family member 2A	protein coding gene	ENSMUSG00000021693
Il6st	current symbol	MGI:96560	Il6st	interleukin 6 signal transducer	protein coding gene	ENSMUSG00000021756
Snx18	current symbol	MGI:2137642	Snx18	sorting nexin 18	protein coding gene	ENSMUSG00000042364
Itga1	current symbol	MGI:96599	Itga1	integrin alpha 1	protein coding gene	ENSMUSG00000042284
Camk2g	current symbol	MGI:88259	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	protein coding gene	ENSMUSG00000021820
Vcl	current symbol	MGI:98927	Vcl	vinculin	protein coding gene	ENSMUSG00000021823
Bmpr1a	current symbol	MGI:1338938	Bmpr1a	bone morphogenetic protein receptor, type 1A	protein coding gene	ENSMUSG00000021796
Wdhd1	current symbol	MGI:2443514	Wdhd1	WD repeat and HMG-box DNA binding protein 1	protein coding gene	ENSMUSG00000037572
Pnp	current symbol	MGI:97365	Pnp	purine-nucleoside phosphorylase	protein coding gene	ENSMUSG00000115338
Pnp	human symbol	MGI:3712328	Pnp2	purine-nucleoside phosphorylase 2	protein coding gene	ENSMUSG00000068417
Pnp	human synonym	MGI:97753	Ppy	pancreatic polypeptide	protein coding gene	ENSMUSG00000017316
Mmp14	current symbol	MGI:101900	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	protein coding gene	ENSMUSG00000000957
Ajuba	current symbol	MGI:1341886	Ajuba	ajuba LIM protein	protein coding gene	ENSMUSG00000022178
Abhd4	current symbol	MGI:1915938	Abhd4	abhydrolase domain containing 4	protein coding gene	ENSMUSG00000040997
Tm9sf1	current symbol	MGI:1921390	Tm9sf1	transmembrane 9 superfamily member 1	protein coding gene	ENSMUSG00000002320
Mtmr6	current symbol	MGI:2145637	Mtmr6	myotubularin related protein 6	protein coding gene	ENSMUSG00000021987
Fdft1	current symbol	MGI:102706	Fdft1	farnesyl diphosphate farnesyl transferase 1	protein coding gene	ENSMUSG00000021273
Trim35	current symbol	MGI:1914104	Trim35	tripartite motif-containing 35	protein coding gene	ENSMUSG00000022043
Dpysl2	current symbol	MGI:1349763	Dpysl2	dihydropyrimidinase-like 2	protein coding gene	ENSMUSG00000022048
Dock5	current symbol	MGI:2652871	Dock5	dedicator of cytokinesis 5	protein coding gene	ENSMUSG00000044447
Reep4	current symbol	MGI:1919799	Reep4	receptor accessory protein 4	protein coding gene	ENSMUSG00000033589
Tsc22d1	current symbol	MGI:109127	Tsc22d1	TSC22 domain family, member 1	protein coding gene	ENSMUSG00000022010
Rai14	current symbol	MGI:1922896	Rai14	retinoic acid induced 14	protein coding gene	ENSMUSG00000022246
Drosha	current symbol	MGI:1261425	Drosha	drosha, ribonuclease type III	protein coding gene	ENSMUSG00000022191
Myo10	current symbol	MGI:107716	Myo10	myosin X	protein coding gene	ENSMUSG00000022272
Trio	current symbol	MGI:1927230	Trio	triple functional domain (PTPRF interacting)	protein coding gene	ENSMUSG00000022263
Rida	current symbol	MGI:1095401	Rida	reactive intermediate imine deaminase A homolog	protein coding gene	ENSMUSG00000022323
Ywhaz	current symbol	MGI:109484	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein coding gene	ENSMUSG00000022285
Zfp706	current symbol	MGI:1915286	Zfp706	zinc finger protein 706	protein coding gene	ENSMUSG00000062397
Azin1	current symbol	MGI:1859169	Azin1	antizyme inhibitor 1	protein coding gene	ENSMUSG00000037458
Zfpm2	current symbol	MGI:1334444	Zfpm2	zinc finger protein, multitype 2	protein coding gene	ENSMUSG00000022306
Trmt12	current symbol	MGI:1915510	Trmt12	tRNA methyltransferase 12	protein coding gene	ENSMUSG00000037085
Sqle	current symbol	MGI:109296	Sqle	squalene epoxidase	protein coding gene	ENSMUSG00000022351
Wisp1	old symbol	MGI:1197008	Ccn4	cellular communication network factor 4	protein coding gene	ENSMUSG00000005124
St3gal1	current symbol	MGI:98304	St3gal1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein coding gene	ENSMUSG00000013846
Cyc1	human synonym	MGI:1341077	Ccni	cyclin I	protein coding gene	ENSMUSG00000063015
Cyc1	current symbol	MGI:1913695	Cyc1	cytochrome c-1	protein coding gene	ENSMUSG00000022551
Apol6	current symbol	MGI:1919189	Apol6	apolipoprotein L 6	protein coding gene	ENSMUSG00000033576
Rbfox2	current symbol	MGI:1933973	Rbfox2	RNA binding protein, fox-1 homolog (C. elegans) 2	protein coding gene	ENSMUSG00000033565
Myh9	current symbol	MGI:107717	Myh9	myosin, heavy polypeptide 9, non-muscle	protein coding gene	ENSMUSG00000022443
Atf4	current symbol	MGI:88096	Atf4	activating transcription factor 4	protein coding gene	ENSMUSG00000042406
Tob2	current symbol	MGI:1888525	Tob2	transducer of ERBB2, 2	protein coding gene	ENSMUSG00000048546
Aco2	current symbol	MGI:87880	Aco2	aconitase 2, mitochondrial	protein coding gene	ENSMUSG00000022477
Pmm1	current symbol	MGI:1353418	Pmm1	phosphomannomutase 1	protein coding gene	ENSMUSG00000022474
Pacsin2	current symbol	MGI:1345153	Pacsin2	protein kinase C and casein kinase substrate in neurons 2	protein coding gene	ENSMUSG00000016664
Ttll12	current symbol	MGI:3039573	Ttll12	tubulin tyrosine ligase-like family, member 12	protein coding gene	ENSMUSG00000016757
Tuba1a	current symbol	MGI:98869	Tuba1a	tubulin, alpha 1A	protein coding gene	ENSMUSG00000072235
Tuba1c	zebrafish symbol	MGI:107804	Tuba1b	tubulin, alpha 1B	protein coding gene	ENSMUSG00000023004
Tuba1c	current symbol	MGI:1095409	Tuba1c	tubulin, alpha 1C	protein coding gene	ENSMUSG00000043091
Mcrs1	current symbol	MGI:1858420	Mcrs1	microspherule protein 1	protein coding gene	ENSMUSG00000037570
Cox14	current symbol	MGI:1913629	Cox14	cytochrome c oxidase assembly protein 14	protein coding gene	ENSMUSG00000023020
Cers5	current symbol	MGI:1919199	Cers5	ceramide synthase 5	protein coding gene	ENSMUSG00000023021
Cers5	human synonym	MGI:2442564	Cers6	ceramide synthase 6	protein coding gene	ENSMUSG00000027035
Cdip1	current symbol	MGI:1913876	Cdip1	cell death inducing Trp53 target 1	protein coding gene	ENSMUSG00000004071
Cpped1	current symbol	MGI:2443300	Cpped1	calcineurin-like phosphoesterase domain containing 1	protein coding gene	ENSMUSG00000065979
Clcn2	current symbol	MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	protein coding gene	ENSMUSG00000022843
Ephb3	current symbol	MGI:104770	Ephb3	Eph receptor B3	protein coding gene	ENSMUSG00000005958
Rfc4	current symbol	MGI:2146571	Rfc4	replication factor C (activator 1) 4	protein coding gene	ENSMUSG00000022881
Lrrc15	current symbol	MGI:1921738	Lrrc15	leucine rich repeat containing 15	protein coding gene	ENSMUSG00000052316
Fam43a	current symbol	MGI:2676309	Fam43a	family with sequence similarity 43, member A	protein coding gene	ENSMUSG00000046546
Xxylt1	current symbol	MGI:2146443	Xxylt1	xyloside xylosyltransferase 1	protein coding gene	ENSMUSG00000047434
Gsk3b	current symbol	MGI:1861437	Gsk3b	glycogen synthase kinase 3 beta	protein coding gene	ENSMUSG00000022812
Adprh	current symbol	MGI:1098234	Adprh	ADP-ribosylarginine hydrolase	protein coding gene	ENSMUSG00000002844
Arhgap31	current symbol	MGI:1333857	Arhgap31	Rho GTPase activating protein 31	protein coding gene	ENSMUSG00000022799
Filip1l	current symbol	MGI:1925999	Filip1l	filamin A interacting protein 1-like	protein coding gene	ENSMUSG00000043336
Atp5j	old symbol	MGI:107777	Atp5pf	ATP synthase peripheral stalk subunit F6	protein coding gene	ENSMUSG00000022890
Ifnar2	current symbol	MGI:1098243	Ifnar2	interferon (alpha and beta) receptor 2	protein coding gene	ENSMUSG00000022971
Il10rb	current symbol	MGI:109380	Il10rb	interleukin 10 receptor, beta	protein coding gene	ENSMUSG00000022969
Runx1	current symbol	MGI:99852	Runx1	runt related transcription factor 1	protein coding gene	ENSMUSG00000022952
Lnpep	current symbol	MGI:2387123	Lnpep	leucyl/cystinyl aminopeptidase	protein coding gene	ENSMUSG00000023845
Ccnf	current symbol	MGI:102551	Ccnf	cyclin F	protein coding gene	ENSMUSG00000072082
Rps2	current symbol	MGI:105110	Rps2	ribosomal protein S2	protein coding gene	ENSMUSG00000044533
Nudt3	current symbol	MGI:1928484	Nudt3	nudix hydrolase 3	protein coding gene	ENSMUSG00000024213
D17Wsu92e	old symbol	MGI:106281	Ilrun	inflammation and lipid regulator with UBA-like and NBR1-like domains	protein coding gene	ENSMUSG00000056692
Tead3	current symbol	MGI:109241	Tead3	TEA domain family member 3	protein coding gene	ENSMUSG00000002249
Srsf3	current symbol	MGI:98285	Srsf3	serine and arginine-rich splicing factor 3	protein coding gene	ENSMUSG00000071172
Tbc1d22b	current symbol	MGI:2681867	Tbc1d22b	TBC1 domain family, member 22B	protein coding gene	ENSMUSG00000042203
Ndufv3	current symbol	MGI:1890894	Ndufv3	NADH:ubiquinone oxidoreductase core subunit V3	protein coding gene	ENSMUSG00000024038
Sik1	current symbol	MGI:104754	Sik1	salt inducible kinase 1	protein coding gene	ENSMUSG00000024042
Angptl4	current symbol	MGI:1888999	Angptl4	angiopoietin-like 4	protein coding gene	ENSMUSG00000002289
Vars	old symbol	MGI:90675	Vars1	valyl-tRNA synthetase 1	protein coding gene	ENSMUSG00000007029
Ddah2	current symbol	MGI:1859016	Ddah2	dimethylarginine dimethylaminohydrolase 2	protein coding gene	ENSMUSG00000007039
