Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
NM_007731	RefSeq	MGI:1277201	Col13a1	collagen, type XIII, alpha 1	protein coding gene	ENSMUSG00000058806
NM_008981	RefSeq	MGI:97814	Ptprg	protein tyrosine phosphatase receptor type G	protein coding gene	ENSMUSG00000121513
NM_001081348	RefSeq	MGI:2444115	Hecw1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein coding gene	ENSMUSG00000021301
NM_175272	RefSeq	MGI:2183691	Nav2	neuron navigator 2	protein coding gene	ENSMUSG00000052512
NR_015532	RefSeq	MGI:1915495	1700108J01Rik	RIKEN cDNA 1700108J01 gene	lncRNA gene	ENSMUSG00000100585
NM_009332	RefSeq	MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)	protein coding gene	ENSMUSG00000055799
NM_010721	RefSeq	MGI:96795	Lmnb1	lamin B1	protein coding gene	ENSMUSG00000024590
NM_001113210	RefSeq	MGI:103188	Nfib	nuclear factor I/B	protein coding gene	ENSMUSG00000008575
NM_028343	RefSeq	MGI:1920009	Tmem135	transmembrane protein 135	protein coding gene	ENSMUSG00000039428
NR_030403	RefSeq	MGI:3619326	Mir302b	microRNA 302b	miRNA gene	ENSMUSG00000076252
NM_019983	RefSeq	MGI:1929459	Rabgef1	RAB guanine nucleotide exchange factor (GEF) 1	protein coding gene	ENSMUSG00000025340
NM_011443	RefSeq	MGI:98364	Sox2	SRY (sex determining region Y)-box 2	protein coding gene	ENSMUSG00000074637
NM_010810	RefSeq	MGI:103189	Mmp7	matrix metallopeptidase 7	protein coding gene	ENSMUSG00000018623
NR_030680	RefSeq	MGI:3782005	Mnd1-ps	Mnd1 retrotransposed pseudogene	pseudogene	ENSMUSG00000089686
NR_035453	RefSeq	MGI:3836969	Mir1932	microRNA 1932	miRNA gene	ENSMUSG00000088015
NM_001114174	RefSeq	MGI:2685813	Entrep1	endosomal transmembrane epsin interactor 1	protein coding gene	ENSMUSG00000071604
NM_178923	RefSeq	MGI:2146350	Scaf4	SR-related CTD-associated factor 4	protein coding gene	ENSMUSG00000022983
NM_029587	RefSeq	MGI:1923632	1700012A03Rik	RIKEN cDNA 1700012A03 gene	protein coding gene	ENSMUSG00000029766
NM_144888	RefSeq	MGI:2444773	Mavs	mitochondrial antiviral signaling protein	protein coding gene	ENSMUSG00000037523
NM_172607	RefSeq	MGI:2442664	Naprt	nicotinate phosphoribosyltransferase	protein coding gene	ENSMUSG00000022574
NM_019501	RefSeq	MGI:1889278	Pdss1	prenyl (solanesyl) diphosphate synthase, subunit 1	protein coding gene	ENSMUSG00000026784
NM_153789	RefSeq	MGI:2388271	Mylip	myosin regulatory light chain interacting protein	protein coding gene	ENSMUSG00000038175
NM_007564	RefSeq	MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	protein coding gene	ENSMUSG00000021127
NM_001003918	RefSeq	MGI:2182061	Usp7	ubiquitin specific peptidase 7	protein coding gene	ENSMUSG00000022710
NM_007930	RefSeq	MGI:109610	Enc1	ectodermal-neural cortex 1	protein coding gene	ENSMUSG00000041773
NM_080555	RefSeq	MGI:1915166	Plpp3	phospholipid phosphatase 3	protein coding gene	ENSMUSG00000028517
NM_008291	RefSeq	MGI:107177	Hsd17b3	hydroxysteroid (17-beta) dehydrogenase 3	protein coding gene	ENSMUSG00000033122
NM_013720	RefSeq	MGI:1352483	Mga	MAX gene associated	protein coding gene	ENSMUSG00000033943
NM_016861	RefSeq	MGI:1860611	Pdlim1	PDZ and LIM domain 1 (elfin)	protein coding gene	ENSMUSG00000055044
NM_172265	RefSeq	MGI:2446176	Eif2b5	eukaryotic translation initiation factor 2B, subunit 5 epsilon	protein coding gene	ENSMUSG00000003235
NM_029619	RefSeq	MGI:1923717	Msrb2	methionine sulfoxide reductase B2	protein coding gene	ENSMUSG00000023094
NM_009131	RefSeq	MGI:1298219	Clec11a	C-type lectin domain family 11, member a	protein coding gene	ENSMUSG00000004473
NM_020052	RefSeq	MGI:1928765	Scube2	signal peptide, CUB domain, EGF-like 2	protein coding gene	ENSMUSG00000007279
NM_021889	RefSeq	MGI:1926373	Syt9	synaptotagmin IX	protein coding gene	ENSMUSG00000062542
NM_001163686	RefSeq	MGI:1924079	Dok5	docking protein 5	protein coding gene	ENSMUSG00000027560
NM_080288	RefSeq	MGI:2153044	Elmo1	engulfment and cell motility 1	protein coding gene	ENSMUSG00000041112
NM_008924	RefSeq	MGI:108025	Prkar2a	protein kinase, cAMP dependent regulatory, type II alpha	protein coding gene	ENSMUSG00000032601
NM_008888	RefSeq	MGI:1100882	Phox2b	paired-like homeobox 2b	protein coding gene	ENSMUSG00000012520
NM_001177902	RefSeq	MGI:2140750	Zfp518b	zinc finger protein 518B	protein coding gene	ENSMUSG00000046572
NM_172385	RefSeq	MGI:1926102	Zfp536	zinc finger protein 536	protein coding gene	ENSMUSG00000043456
NM_134005	RefSeq	MGI:2143702	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3	protein coding gene	ENSMUSG00000019989
NM_172662	RefSeq	MGI:2444269	Gtdc1	glycosyltransferase-like domain containing 1	protein coding gene	ENSMUSG00000036890
NM_001081336	RefSeq	MGI:2444188	Dgkh	diacylglycerol kinase, eta	protein coding gene	ENSMUSG00000034731
NM_001081343	RefSeq	MGI:1920455	C9orf72	C9orf72, member of C9orf72-SMCR8 complex	protein coding gene	ENSMUSG00000028300
NM_025844	RefSeq	MGI:1914167	Chordc1	cysteine and histidine rich domain containing 1	protein coding gene	ENSMUSG00000001774
NR_003188	RefSeq	MGI:3617487	Kis2	Kaplan integration site 2	lncRNA gene	ENSMUSG00000086173
NM_007855	RefSeq	MGI:104685	Twist2	twist basic helix-loop-helix transcription factor 2	protein coding gene	ENSMUSG00000007805
NM_172298	RefSeq	MGI:2442819	Tshz3	teashirt zinc finger family member 3	protein coding gene	ENSMUSG00000021217
NM_009763	RefSeq	MGI:105370	Bst1	bone marrow stromal cell antigen 1	protein coding gene	ENSMUSG00000029082
NM_198422	RefSeq	MGI:2679683	Paqr3	progestin and adipoQ receptor family member III	protein coding gene	ENSMUSG00000055725
NM_172285	RefSeq	MGI:97616	Plcg2	phospholipase C, gamma 2	protein coding gene	ENSMUSG00000034330
NM_010601	RefSeq	MGI:1341723	Kcnh3	potassium voltage-gated channel, subfamily H (eag-related), member 3	protein coding gene	ENSMUSG00000037579
NM_138682	RefSeq	MGI:2182081	Lrrc4	leucine rich repeat containing 4	protein coding gene	ENSMUSG00000049939
NR_045836	RefSeq	MGI:2442754	A430090L17Rik	RIKEN cDNA A430090L17 gene	lncRNA gene	ENSMUSG00000114213
NM_027570	RefSeq	MGI:106428	Ldhd	lactate dehydrogenase D	protein coding gene	ENSMUSG00000031958
NM_008402	RefSeq	MGI:96608	Itgav	integrin alpha V	protein coding gene	ENSMUSG00000027087
NM_001163064	RefSeq	MGI:2143755	AU041133	expressed sequence AU041133	protein coding gene	ENSMUSG00000078435
NM_001142960	RefSeq	MGI:2685412	Bcl2l15	BCLl2-like 15	protein coding gene	ENSMUSG00000044165
NM_198627	RefSeq	MGI:2685537	Vstm2l	V-set and transmembrane domain containing 2-like	protein coding gene	ENSMUSG00000037843
NM_010887	RefSeq	MGI:1343135	Ndufs4	NADH:ubiquinone oxidoreductase core subunit S4	protein coding gene	ENSMUSG00000021764
NM_153546	RefSeq	MGI:2387184	Mboat1	membrane bound O-acyltransferase domain containing 1	protein coding gene	ENSMUSG00000038732
NM_138628	RefSeq	MGI:2671945	Txlnb	taxilin beta	protein coding gene	ENSMUSG00000039891
NR_040332	RefSeq	MGI:2442861	A930006I01Rik	RIKEN cDNA A930006I01 gene	lncRNA gene	ENSMUSG00000087278
NM_001037923	RefSeq	MGI:3645902	Lekr1	leucine, glutamate and lysine rich 1	protein coding gene	ENSMUSG00000074579
NM_001252253	RefSeq	MGI:97307	Nf2	neurofibromin 2	protein coding gene	ENSMUSG00000009073
NR_035452	RefSeq	MGI:3836967	Mir1931	microRNA 1931	miRNA gene	ENSMUSG00000089214
NM_175164	RefSeq	MGI:1918552	Arhgap26	Rho GTPase activating protein 26	protein coding gene	ENSMUSG00000036452
NM_175164	RefSeq	MGI:1918552	Arhgap26	Rho GTPase activating protein 26	protein coding gene	ENSMUSG00000118193
NM_001081342	RefSeq	MGI:3041203	Adgrd1	adhesion G protein-coupled receptor D1	protein coding gene	ENSMUSG00000044017
NM_007872	RefSeq	MGI:1261827	Dnmt3a	DNA methyltransferase 3A	protein coding gene	ENSMUSG00000020661
NM_153409	RefSeq	MGI:1925021	Csrnp3	cysteine-serine-rich nuclear protein 3	protein coding gene	ENSMUSG00000044647
NM_031166	RefSeq	MGI:99414	Id4	inhibitor of DNA binding 4	protein coding gene	ENSMUSG00000021379
NM_183116	RefSeq	MGI:1923556	Slc18b1	solute carrier family 18, subfamily B, member 1	protein coding gene	ENSMUSG00000037455
NM_030133	RefSeq	MGI:1925836	Srbd1	S1 RNA binding domain 1	protein coding gene	ENSMUSG00000024135
NM_010262	RefSeq	MGI:95668	Gbx2	gastrulation brain homeobox 2	protein coding gene	ENSMUSG00000034486
NM_024174	RefSeq	MGI:1928138	Mrps23	mitochondrial ribosomal protein S23	protein coding gene	ENSMUSG00000023723
NM_001024703	RefSeq	MGI:2685335	Mctp2	multiple C2 domains, transmembrane 2	protein coding gene	ENSMUSG00000032776
NM_026350	RefSeq	MGI:1914986	Yju2b	YJU2 splicing factor homolog B	protein coding gene	ENSMUSG00000004994
NM_198295	RefSeq	MGI:2442418	Tmx3	thioredoxin-related transmembrane protein 3	protein coding gene	ENSMUSG00000024614
NM_025286	RefSeq	MGI:1333844	Slc31a2	solute carrier family 31, member 2	protein coding gene	ENSMUSG00000066152
NM_001004152	RefSeq	MGI:1891354	Psg22	pregnancy-specific beta-1-glycoprotein 22	protein coding gene	ENSMUSG00000044903
NM_001159577	RefSeq	MGI:1278335	Lnx1	ligand of numb-protein X 1	protein coding gene	ENSMUSG00000029228
NM_033077	RefSeq	MGI:91842	D1Pas1	DNA segment, Chr 1, Pasteur Institute 1	protein coding gene	ENSMUSG00000039224
NM_178671	RefSeq	MGI:2443123	Ubxn10	UBX domain protein 10	protein coding gene	ENSMUSG00000043621
NM_001171007	RefSeq	MGI:1341839	Nod1	nucleotide-binding oligomerization domain containing 1	protein coding gene	ENSMUSG00000038058
NM_008229	RefSeq	MGI:1097691	Hdac2	histone deacetylase 2	protein coding gene	ENSMUSG00000019777
NM_001101560	RefSeq	MGI:3646757	Cldn20	claudin 20	protein coding gene	ENSMUSG00000091530
NR_040761	RefSeq	MGI:1926023	4930511E03Rik	RIKEN cDNA 4930511E03 gene	lncRNA gene	ENSMUSG00000108187
NM_001024919	RefSeq	MGI:1916806	Bod1	biorientation of chromosomes in cell division 1	protein coding gene	ENSMUSG00000044502
NM_011303	RefSeq	MGI:1315215	Dhrs3	dehydrogenase/reductase 3	protein coding gene	ENSMUSG00000066026
NM_001081178	RefSeq	MGI:2182928	Adgrf5	adhesion G protein-coupled receptor F5	protein coding gene	ENSMUSG00000056492
NR_040502	RefSeq	MGI:1921315	4933406D12Rik	RIKEN cDNA 4933406D12 gene	lncRNA gene	ENSMUSG00000085796
NM_153079	RefSeq	MGI:2441765	Nmur2	neuromedin U receptor 2	protein coding gene	ENSMUSG00000037393
NR_040469	RefSeq	MGI:1923227	5031425E22Rik	RIKEN cDNA 5031425E22 gene	lncRNA gene	ENSMUSG00000073147
NM_183275	RefSeq	MGI:1915800	Tefm	transcription elongation factor, mitochondrial	protein coding gene	ENSMUSG00000046909
NM_001171001	RefSeq	MGI:1921590	Ahcyl2	S-adenosylhomocysteine hydrolase-like 2	protein coding gene	ENSMUSG00000029772
NM_010118	RefSeq	MGI:95296	Egr2	early growth response 2	protein coding gene	ENSMUSG00000037868
NM_010075	RefSeq	MGI:94921	Dpp6	dipeptidylpeptidase 6	protein coding gene	ENSMUSG00000061576
NR_040521	RefSeq	MGI:1922972	4932412D23Rik	RIKEN cDNA 4932412D23 gene	lncRNA gene	ENSMUSG00000075070
NM_183023	RefSeq	MGI:2674366	Rims4	regulating synaptic membrane exocytosis 4	protein coding gene	ENSMUSG00000035226
NM_016688	RefSeq	MGI:1859170	Pdcd7	programmed cell death 7	protein coding gene	ENSMUSG00000041837
NM_177561	RefSeq	MGI:1916977	Usp46	ubiquitin specific peptidase 46	protein coding gene	ENSMUSG00000054814
NM_019642	RefSeq	MGI:98085	Rpn2	ribophorin II	protein coding gene	ENSMUSG00000027642
NM_010896	RefSeq	MGI:107754	Neurog1	neurogenin 1	protein coding gene	ENSMUSG00000048904
NM_001033420	RefSeq	MGI:2429765	Dock1	dedicator of cytokinesis 1	protein coding gene	ENSMUSG00000058325
NM_001163271	RefSeq	MGI:3646964	Fscb	fibrous sheath CABYR binding protein	protein coding gene	ENSMUSG00000043060
NM_001080977	RefSeq	MGI:3036237	Rsbn1l	round spermatid basic protein 1-like	protein coding gene	ENSMUSG00000039968
NM_009873	RefSeq	MGI:1277162	Cdk6	cyclin dependent kinase 6	protein coding gene	ENSMUSG00000040274
NM_008314	RefSeq	MGI:96283	Htr5a	5-hydroxytryptamine (serotonin) receptor 5A	protein coding gene	ENSMUSG00000039106
NM_181414	RefSeq	MGI:2445019	Pik3c3	phosphatidylinositol 3-kinase catalytic subunit type 3	protein coding gene	ENSMUSG00000033628
NM_144881	RefSeq	MGI:2444681	Hhat	hedgehog acyltransferase	protein coding gene	ENSMUSG00000037375
NM_001122594	RefSeq	MGI:2444928	Phlpp2	PH domain and leucine rich repeat protein phosphatase 2	protein coding gene	ENSMUSG00000031732
NM_145218	RefSeq	MGI:2137594	Galnt17	polypeptide N-acetylgalactosaminyltransferase 17	protein coding gene	ENSMUSG00000034040
NM_001033259	RefSeq	MGI:3026965	Mcu	mitochondrial calcium uniporter	protein coding gene	ENSMUSG00000009647
NM_022996	RefSeq	MGI:1929601	Ndfip1	Nedd4 family interacting protein 1	protein coding gene	ENSMUSG00000024425
NM_010816	RefSeq	MGI:1316740	Morc1	microrchidia 1	protein coding gene	ENSMUSG00000022652
NR_045052	RefSeq	MGI:5012372	Gm20187	predicted gene, 20187	lncRNA gene	
NR_045330	RefSeq	MGI:2443529	D930032P07Rik	RIKEN cDNA D930032P07 gene	lncRNA gene	ENSMUSG00000097735
NM_025448	RefSeq	MGI:1913506	Ssr2	signal sequence receptor, beta	protein coding gene	ENSMUSG00000041355
NM_001039169	RefSeq	MGI:1914440	Eif4e2	eukaryotic translation initiation factor 4E member 2	protein coding gene	ENSMUSG00000026254
NM_178390	RefSeq	MGI:1919225	Fam53a	family with sequence similarity 53, member A	protein coding gene	ENSMUSG00000037339
NM_001199494	RefSeq	MGI:108090	Ei24	etoposide induced 2.4 mRNA	protein coding gene	ENSMUSG00000062762
NM_021480	RefSeq	MGI:1926231	Tdh	L-threonine dehydrogenase	protein coding gene	ENSMUSG00000021953
NM_001002927	RefSeq	MGI:104629	Penk	preproenkephalin	protein coding gene	ENSMUSG00000045573
NM_009022	RefSeq	MGI:107928	Aldh1a2	aldehyde dehydrogenase family 1, subfamily A2	protein coding gene	ENSMUSG00000013584
NM_177005	RefSeq	MGI:2442755	Glt1d1	glycosyltransferase 1 domain containing 1	protein coding gene	ENSMUSG00000049971
NR_027488	RefSeq	MGI:1923076	Senp2	SUMO/sentrin specific peptidase 2	protein coding gene	ENSMUSG00000022855
NM_026442	RefSeq	MGI:1915149	Cmc1	C-X9-C motif containing 1	protein coding gene	ENSMUSG00000039163
NM_010057	RefSeq	MGI:101927	Dlx6	distal-less homeobox 6	protein coding gene	ENSMUSG00000029754
NM_008922	RefSeq	MGI:97758	Prim2	DNA primase, p58 subunit	protein coding gene	ENSMUSG00000026134
NM_001166728	RefSeq	MGI:3647849	Vmn1r1	vomeronasal 1 receptor 1	protein coding gene	ENSMUSG00000091013
NR_030491	RefSeq	MGI:3629713	Mir710	microRNA 710	miRNA gene	ENSMUSG00000076042
NM_011448	RefSeq	MGI:98371	Sox9	SRY (sex determining region Y)-box 9	protein coding gene	ENSMUSG00000000567
NM_011567	RefSeq	MGI:106907	Tead4	TEA domain family member 4	protein coding gene	ENSMUSG00000030353
NM_010446	RefSeq	MGI:1347476	Foxa2	forkhead box A2	protein coding gene	ENSMUSG00000037025
NM_001142727	RefSeq	MGI:1916170	1110065P20Rik	RIKEN cDNA 1110065P20 gene	protein coding gene	ENSMUSG00000078570
NM_028133	RefSeq	MGI:1932288	Egln3	egl-9 family hypoxia-inducible factor 3	protein coding gene	ENSMUSG00000035105
NM_001123327	RefSeq	MGI:2138986	Qser1	glutamine and serine rich 1	protein coding gene	ENSMUSG00000074994
NR_045292	RefSeq	MGI:2442462	D630013N20Rik	RIKEN cDNA D630013N20 gene	lncRNA gene	
NM_020570	RefSeq	MGI:1927345	Xrcc2	X-ray repair complementing defective repair in Chinese hamster cells 2	protein coding gene	ENSMUSG00000028933
NM_008133	RefSeq	MGI:95753	Glud1	glutamate dehydrogenase 1	protein coding gene	ENSMUSG00000021794
NM_001001932	RefSeq	MGI:2442192	Eea1	early endosome antigen 1	protein coding gene	ENSMUSG00000036499
NR_030644	RefSeq	MGI:3718550	Mir582	microRNA 582	miRNA gene	ENSMUSG00000076946
NM_001205044	RefSeq	MGI:104813	Jarid2	jumonji and AT-rich interaction domain containing 2	protein coding gene	ENSMUSG00000038518
NM_008420	RefSeq	MGI:96666	Kcnb1	potassium voltage gated channel, Shab-related subfamily, member 1	protein coding gene	ENSMUSG00000050556
NM_001081345	RefSeq	MGI:2448567	Chd2	chromodomain helicase DNA binding protein 2	protein coding gene	ENSMUSG00000078671
NM_009037	RefSeq	MGI:104559	Rcn1	reticulocalbin 1	protein coding gene	ENSMUSG00000005973
NM_010425	RefSeq	MGI:1347473	Foxd3	forkhead box D3	protein coding gene	ENSMUSG00000067261
NM_001128606	RefSeq	MGI:95401	Epb41	erythrocyte membrane protein band 4.1	protein coding gene	ENSMUSG00000028906
NM_007897	RefSeq	MGI:95275	Ebf1	early B cell factor 1	protein coding gene	ENSMUSG00000057098
NR_029384	RefSeq	MGI:3583292	Otx2os1	orthodenticle homeobox 2 opposite strand 1	lncRNA gene	ENSMUSG00000098682
NM_183028	RefSeq	MGI:2441773	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein coding gene	ENSMUSG00000051285
NM_177445	RefSeq	MGI:2442544	Dars1	aspartyl-tRNA synthetase 1	protein coding gene	ENSMUSG00000026356
NM_001145060	RefSeq	MGI:3647683	Glyatl3	glycine-N-acyltransferase-like 3	protein coding gene	ENSMUSG00000091043
NM_030261	RefSeq	MGI:1922997	Sesn3	sestrin 3	protein coding gene	ENSMUSG00000032009
NM_178714	RefSeq	MGI:2144814	Lrfn5	leucine rich repeat and fibronectin type III domain containing 5	protein coding gene	ENSMUSG00000035653
NM_001252665	RefSeq	MGI:99670	Dmtn	dematin actin binding protein	protein coding gene	ENSMUSG00000022099
NM_009625	RefSeq	MGI:105094	Adcyap1	adenylate cyclase activating polypeptide 1	protein coding gene	ENSMUSG00000024256
NM_030694	RefSeq	MGI:1933382	Ifitm2	interferon induced transmembrane protein 2	protein coding gene	ENSMUSG00000060591
NM_008343	RefSeq	MGI:96438	Igfbp3	insulin-like growth factor binding protein 3	protein coding gene	ENSMUSG00000020427
NM_211138	RefSeq	MGI:2147987	Pcyt1b	phosphate cytidylyltransferase 1, choline, beta isoform	protein coding gene	ENSMUSG00000035246
NM_001080933	RefSeq	MGI:2686021	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1	protein coding gene	ENSMUSG00000047773
NM_028810	RefSeq	MGI:1921444	Rnd3	Rho family GTPase 3	protein coding gene	ENSMUSG00000017144
NR_045978	RefSeq	MGI:1922489	4930543E12Rik	RIKEN cDNA 4930543E12 gene	lncRNA gene	ENSMUSG00000110009
NM_173776	RefSeq	MGI:2389460	Maml2	mastermind like transcriptional coactivator 2	protein coding gene	ENSMUSG00000031925
NM_001122730	RefSeq	MGI:3648294	Tnrc18	trinucleotide repeat containing 18	protein coding gene	ENSMUSG00000039477
NR_045686	RefSeq	MGI:3802162	Gm16062	predicted gene 16062	lncRNA gene	ENSMUSG00000087249
NM_172671	RefSeq	MGI:1891468	Lgr4	leucine-rich repeat-containing G protein-coupled receptor 4	protein coding gene	ENSMUSG00000050199
NM_001024205	RefSeq	MGI:1915814	Nufip2	nuclear FMR1 interacting protein 2	protein coding gene	ENSMUSG00000037857
NM_178700	RefSeq	MGI:106479	Grsf1	G-rich RNA sequence binding factor 1	protein coding gene	ENSMUSG00000044221
NM_001109661	RefSeq	MGI:894679	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2	protein coding gene	ENSMUSG00000040270
NM_029286	RefSeq	MGI:1920582	Ccdc30	coiled-coil domain containing 30	protein coding gene	ENSMUSG00000028637
NR_037978	RefSeq	MGI:2685510	E030025P04Rik	RIKEN cDNA E030025P04 gene	protein coding gene	ENSMUSG00000078605
NM_001017525	RefSeq	MGI:1921257	Abtb3	ankyrin repeat and BTB domain containing 3	protein coding gene	ENSMUSG00000020042
NM_031198	RefSeq	MGI:1333760	Tfec	transcription factor EC	protein coding gene	ENSMUSG00000029553
NM_172495	RefSeq	MGI:2444847	Ncoa7	nuclear receptor coactivator 7	protein coding gene	ENSMUSG00000039697
NM_013582	RefSeq	MGI:96783	Lhcgr	luteinizing hormone/choriogonadotropin receptor	protein coding gene	ENSMUSG00000024107
NR_033626	RefSeq	MGI:1916283	Smim38	small integral membrane protein 38	protein coding gene	ENSMUSG00000109305
NM_172758	RefSeq	MGI:2679005	Slc38a7	solute carrier family 38, member 7	protein coding gene	ENSMUSG00000036534
NM_001205043	RefSeq	MGI:104813	Jarid2	jumonji and AT-rich interaction domain containing 2	protein coding gene	ENSMUSG00000038518
